sample	af_b	Inner	Outer	gap_pp
H1437	1.Extr_lo(<0.1)	0.977	0.857	12.0
H1437	2.Inter_lo(0.1-0.4)	0.886	0.728	15.8
H1437	3.NearHalf(0.4-0.6)	0.849	0.699	15.0
H1437	4.Inter_hi(0.6-0.9)	0.797	0.71	8.7
H1437	5.Extr_hi(>=0.9)	0.669	0.769	-10.0
H2009	1.Extr_lo(<0.1)	0.788	0.6	18.8
H2009	2.Inter_lo(0.1-0.4)	0.954	0.879	7.5
H2009	3.NearHalf(0.4-0.6)	0.957	0.877	8.0
H2009	4.Inter_hi(0.6-0.9)	0.914	0.865	4.9
H2009	5.Extr_hi(>=0.9)	0.895	0.883	1.2
HCC1395	1.Extr_lo(<0.1)	0.676	0.333	34.3
HCC1395	2.Inter_lo(0.1-0.4)	0.923	0.637	28.6
HCC1395	3.NearHalf(0.4-0.6)	0.868	0.585	28.3
HCC1395	4.Inter_hi(0.6-0.9)	0.727	0.515	21.2
HCC1395	5.Extr_hi(>=0.9)	0.483	0.568	-8.5
HCC1395_DORADO	1.Extr_lo(<0.1)	0.779	0.5	27.9
HCC1395_DORADO	2.Inter_lo(0.1-0.4)	0.924	0.628	29.6
HCC1395_DORADO	3.NearHalf(0.4-0.6)	0.861	0.573	28.8
HCC1395_DORADO	4.Inter_hi(0.6-0.9)	0.728	0.514	21.4
HCC1395_DORADO	5.Extr_hi(>=0.9)	0.539	0.375	16.4
HCC1937	1.Extr_lo(<0.1)	0.938	0.625	31.3
HCC1937	2.Inter_lo(0.1-0.4)	0.916	0.332	58.3
HCC1937	3.NearHalf(0.4-0.6)	0.773	0.305	46.8
HCC1937	4.Inter_hi(0.6-0.9)	0.667	0.234	43.2
HCC1937	5.Extr_hi(>=0.9)	0.196	0.278	-8.1
HCC1954	1.Extr_lo(<0.1)	0.659	0.833	-17.4
HCC1954	2.Inter_lo(0.1-0.4)	0.558	0.165	39.3
HCC1954	3.NearHalf(0.4-0.6)	0.23	0.079	15.1
HCC1954	4.Inter_hi(0.6-0.9)	0.103	0.031	7.2
HCC1954	5.Extr_hi(>=0.9)	0.031	0.0	3.1
