ng_grp	af_b	median	min	max	count
NG=0	1.Extr_lo(<0.1)	0.0	0.0	0.0	3
NG=0	2.Inter_lo(0.1-0.4)	2.25	-9.7	18.8	6
NG=0	3.NearHalf(0.4-0.6)	-6.7	-75.0	5.2	6
NG=0	4.Inter_hi(0.6-0.9)	4.1	-44.4	60.0	5
NG=0	5.Extr_hi(>=0.9)	-0.15	-18.8	10.7	6
NG=1	1.Extr_lo(<0.1)	1.5	-37.0	40.0	2
NG=1	2.Inter_lo(0.1-0.4)	2.45	-9.6	30.2	6
NG=1	3.NearHalf(0.4-0.6)	-7.45	-14.2	7.9	6
NG=1	4.Inter_hi(0.6-0.9)	15.1	-7.3	59.6	6
NG=1	5.Extr_hi(>=0.9)	0.6500000000000001	-9.1	24.2	6
NG=2	1.Extr_lo(<0.1)	23.35	-17.4	34.3	6
NG=2	2.Inter_lo(0.1-0.4)	29.1	7.5	58.3	6
NG=2	3.NearHalf(0.4-0.6)	21.7	8.0	46.8	6
NG=2	4.Inter_hi(0.6-0.9)	14.95	4.9	43.2	6
NG=2	5.Extr_hi(>=0.9)	-3.4499999999999997	-10.0	16.4	6
NG>=3	1.Extr_lo(<0.1)	-13.7	-47.2	-1.0	6
NG>=3	2.Inter_lo(0.1-0.4)	7.35	2.2	9.4	6
NG>=3	3.NearHalf(0.4-0.6)	3.3499999999999996	-2.5	13.7	6
NG>=3	4.Inter_hi(0.6-0.9)	-2.5	-5.2	1.6	6
NG>=3	5.Extr_hi(>=0.9)	26.2	-0.5	33.3	5
