sample	side	af_b	cn_t	n	TP_rate	HP_Ratio_AUC	HP_Ratio_med	is_high_AUC
HCC1395	Inner	Inter_lo	Loss	233	0.867	0.555	1.0	False
HCC1395	Inner	Inter_lo	Sub	1131	0.918	0.623	1.0	False
HCC1395	Inner	Inter_lo	Diploid	1923	0.898	0.679	1.0	True
HCC1395	Inner	Inter_lo	Gain	2004	0.929	0.681	0.988	True
HCC1395	Inner	Inter_lo	High	1794	0.925	0.602	0.99	False
HCC1395	Inner	NearHalf	Loss	445	0.98	0.604	1.0	False
HCC1395	Inner	NearHalf	Sub	1893	0.958	0.779	1.0	True
HCC1395	Inner	NearHalf	Diploid	1097	0.857	0.714	1.0	True
HCC1395	Inner	NearHalf	Gain	1137	0.717	0.615	0.978	False
HCC1395	Inner	NearHalf	High	491	0.697	0.582	0.973	False
HCC1395	Inner	Inter_hi	Loss	316	0.763	0.565	1.0	False
HCC1395	Inner	Inter_hi	Sub	555	0.746	0.609	1.0	False
HCC1395	Inner	Inter_hi	Diploid	606	0.695	0.669	0.983	True
HCC1395	Inner	Inter_hi	Gain	425	0.701	0.667	0.986	True
HCC1395	Inner	Inter_hi	High	309	0.489	0.684	0.948	True
HCC1395	Inner	Extr_hi	Loss	1610	0.591	0.508	1.0	False
HCC1395	Inner	Extr_hi	Sub	4515	0.554	0.512	1.0	False
HCC1395	Inner	Extr_hi	Diploid	2037	0.531	0.507	1.0	False
HCC1395	Inner	Extr_hi	Gain	724	0.381	0.512	1.0	False
HCC1395	Inner	Extr_hi	High	270	0.244	0.503	1.0	False
HCC1395	Outer	Inter_lo	Loss	55	0.618	0.604	0.5	False
HCC1395	Outer	Inter_lo	Sub	791	0.743	0.512	0.444	False
HCC1395	Outer	Inter_lo	Diploid	2366	0.761	0.525	0.448	False
HCC1395	Outer	Inter_lo	Gain	2762	0.821	0.513	0.476	False
HCC1395	Outer	Inter_lo	High	2107	0.803	0.518	0.444	False
HCC1395	Outer	NearHalf	Loss	102	0.706	0.526	0.483	False
HCC1395	Outer	NearHalf	Sub	699	0.661	0.527	0.5	False
HCC1395	Outer	NearHalf	Diploid	1429	0.589	0.5	0.478	False
HCC1395	Outer	NearHalf	Gain	2342	0.588	0.51	0.495	False
HCC1395	Outer	NearHalf	High	960	0.611	0.507	0.495	False
HCC1395	Outer	Inter_hi	Loss	41	0.683	0.643	0.471	False
HCC1395	Outer	Inter_hi	Sub	360	0.644	0.527	0.443	False
HCC1395	Outer	Inter_hi	Diploid	1045	0.543	0.526	0.424	False
HCC1395	Outer	Inter_hi	Gain	764	0.512	0.513	0.421	False
HCC1395	Outer	Inter_hi	High	539	0.351	0.523	0.415	False
HCC1395	Outer	Extr_hi	Loss	43	0.628	0.566	0.846	False
HCC1395	Outer	Extr_hi	Sub	50	0.58	0.539	0.5	False
HCC1395_DORADO	Inner	Extr_lo	Diploid	31	0.806	0.623	1.0	False
HCC1395_DORADO	Inner	Inter_lo	Loss	128	0.898	0.759	1.0	True
HCC1395_DORADO	Inner	Inter_lo	Sub	878	0.923	0.754	1.0	True
HCC1395_DORADO	Inner	Inter_lo	Diploid	1771	0.893	0.709	1.0	True
HCC1395_DORADO	Inner	Inter_lo	Gain	2162	0.929	0.726	1.0	True
HCC1395_DORADO	Inner	Inter_lo	High	2108	0.932	0.655	0.977	True
HCC1395_DORADO	Inner	NearHalf	Loss	201	0.975	0.832	1.0	True
HCC1395_DORADO	Inner	NearHalf	Sub	1872	0.973	0.868	1.0	True
HCC1395_DORADO	Inner	NearHalf	Diploid	1264	0.888	0.803	1.0	True
HCC1395_DORADO	Inner	NearHalf	Gain	1243	0.713	0.66	0.081	True
HCC1395_DORADO	Inner	NearHalf	High	799	0.706	0.646	0.044	False
HCC1395_DORADO	Inner	Inter_hi	Loss	134	0.843	0.512	1.0	False
HCC1395_DORADO	Inner	Inter_hi	Sub	389	0.848	0.645	1.0	False
HCC1395_DORADO	Inner	Inter_hi	Diploid	585	0.732	0.677	0.976	True
HCC1395_DORADO	Inner	Inter_hi	Gain	595	0.708	0.693	0.986	True
HCC1395_DORADO	Inner	Inter_hi	High	380	0.468	0.65	0.073	True
HCC1395_DORADO	Inner	Extr_hi	Loss	1131	0.607	0.524	1.0	False
HCC1395_DORADO	Inner	Extr_hi	Sub	4686	0.568	0.501	1.0	False
HCC1395_DORADO	Inner	Extr_hi	Diploid	2481	0.53	0.503	1.0	False
HCC1395_DORADO	Inner	Extr_hi	Gain	975	0.414	0.502	1.0	False
HCC1395_DORADO	Inner	Extr_hi	High	369	0.252	0.509	1.0	False
HCC1395_DORADO	Outer	Inter_lo	Sub	408	0.745	0.506	0.44	False
HCC1395_DORADO	Outer	Inter_lo	Diploid	1944	0.76	0.519	0.429	False
HCC1395_DORADO	Outer	Inter_lo	Gain	2880	0.815	0.504	0.466	False
HCC1395_DORADO	Outer	Inter_lo	High	2609	0.826	0.507	0.41	False
HCC1395_DORADO	Outer	NearHalf	Loss	39	0.667	0.607	0.5	False
HCC1395_DORADO	Outer	NearHalf	Sub	494	0.621	0.501	0.489	False
HCC1395_DORADO	Outer	NearHalf	Diploid	1206	0.625	0.513	0.491	False
HCC1395_DORADO	Outer	NearHalf	Gain	2282	0.586	0.515	0.494	False
HCC1395_DORADO	Outer	NearHalf	High	1488	0.605	0.53	0.485	False
HCC1395_DORADO	Outer	Inter_hi	Sub	182	0.593	0.541	0.396	False
HCC1395_DORADO	Outer	Inter_hi	Diploid	938	0.578	0.535	0.364	False
HCC1395_DORADO	Outer	Inter_hi	Gain	953	0.539	0.516	0.369	False
HCC1395_DORADO	Outer	Inter_hi	High	623	0.366	0.51	0.324	False
HCC1937	Inner	Extr_lo	Sub	72	0.931	0.561	1.0	False
HCC1937	Inner	Extr_lo	Diploid	85	0.918	0.711	1.0	True
HCC1937	Inner	Extr_lo	Gain	60	0.917	0.684	1.0	True
HCC1937	Inner	Extr_lo	High	37	0.973	0.639	0.966	False
HCC1937	Inner	Inter_lo	Loss	316	0.924	0.61	1.0	False
HCC1937	Inner	Inter_lo	Sub	1257	0.959	0.846	1.0	True
HCC1937	Inner	Inter_lo	Diploid	1266	0.925	0.773	1.0	True
HCC1937	Inner	Inter_lo	Gain	1067	0.88	0.746	1.0	True
HCC1937	Inner	Inter_lo	High	467	0.758	0.652	0.095	True
HCC1937	Inner	NearHalf	Loss	103	0.874	0.658	1.0	True
HCC1937	Inner	NearHalf	Sub	703	0.846	0.826	1.0	True
HCC1937	Inner	NearHalf	Diploid	849	0.808	0.815	1.0	True
HCC1937	Inner	NearHalf	Gain	358	0.662	0.751	1.0	True
HCC1937	Inner	NearHalf	High	211	0.294	0.568	0.077	False
HCC1937	Inner	Inter_hi	Loss	108	0.769	0.53	1.0	False
HCC1937	Inner	Inter_hi	Sub	338	0.787	0.708	1.0	True
HCC1937	Inner	Inter_hi	Diploid	255	0.647	0.755	1.0	True
HCC1937	Inner	Inter_hi	Gain	255	0.467	0.753	1.0	True
HCC1937	Inner	Inter_hi	High	106	0.151	0.635	0.065	False
HCC1937	Inner	Extr_hi	Loss	1403	0.325	0.501	1.0	False
HCC1937	Inner	Extr_hi	Sub	2677	0.23	0.506	1.0	False
HCC1937	Inner	Extr_hi	Diploid	2018	0.193	0.51	1.0	False
HCC1937	Inner	Extr_hi	Gain	898	0.188	0.511	1.0	False
HCC1937	Inner	Extr_hi	High	127	0.126	0.508	1.0	False
HCC1937	Outer	Extr_lo	Diploid	33	1.0		0.509	False
HCC1937	Outer	Extr_lo	Gain	37	0.892	0.667	0.398	True
HCC1937	Outer	Extr_lo	High	86	0.977	0.625	0.401	False
