side	af_b	cn_t	n_samples	n_high	AUC_med	AUC_min	AUC_max	TP_med	n_total	consistency
Outer	Extr_hi	Diploid	1	1	0.676	0.676	0.676	0.812	32	1.0
Inner	Extr_lo	Gain	2	2	0.6859999999999999	0.684	0.688	0.764	96	1.0
Inner	NearHalf	Sub	6	5	0.7695000000000001	0.643	0.868	0.933	13499	0.83
Outer	Extr_lo	Diploid	4	3	0.978	0.955	1.0	0.975	192	0.75
Inner	NearHalf	Loss	6	4	0.655	0.53	0.832	0.976	1681	0.67
Outer	Extr_lo	Gain	3	2	0.667	0.561	0.961	0.919	116	0.67
Inner	NearHalf	Diploid	6	4	0.6990000000000001	0.526	0.815	0.8325	12536	0.67
Inner	Inter_hi	Diploid	6	4	0.673	0.529	0.755	0.7135	5108	0.67
Inner	Inter_hi	Gain	6	4	0.6799999999999999	0.512	0.81	0.7044999999999999	4049	0.67
Inner	Inter_lo	Sub	6	4	0.727	0.617	0.846	0.9205000000000001	8538	0.67
Inner	Inter_lo	Gain	6	3	0.6405000000000001	0.523	0.746	0.9285000000000001	10381	0.5
Outer	Extr_hi	Sub	2	1	0.609	0.539	0.679	0.7304999999999999	109	0.5
Inner	Inter_hi	High	6	3	0.6425000000000001	0.556	0.773	0.47850000000000004	2003	0.5
Inner	Inter_lo	Diploid	6	3	0.6535	0.591	0.773	0.8955	11195	0.5
Inner	NearHalf	Gain	6	2	0.583	0.519	0.751	0.715	4846	0.33
Inner	Inter_lo	Loss	6	2	0.6014999999999999	0.5	0.832	0.911	1591	0.33
Inner	Inter_lo	High	6	2	0.6014999999999999	0.513	0.655	0.9045000000000001	6678	0.33
Inner	Extr_lo	Diploid	3	1	0.623	0.616	0.711	0.864	182	0.33
Inner	Extr_lo	Sub	3	1	0.629	0.561	0.695	0.916	226	0.33
Inner	Inter_hi	Sub	6	2	0.627	0.572	0.717	0.786	4346	0.33
Inner	Inter_hi	Loss	6	1	0.546	0.512	0.693	0.766	1394	0.17
Inner	Extr_hi	High	6	1	0.521	0.503	0.658	0.248	1104	0.17
Outer	NearHalf	Loss	6	1	0.5615	0.52	0.658	0.6865	1548	0.17
Outer	NearHalf	High	6	0	0.5185	0.503	0.534	0.608	6304	0.0
Outer	Inter_hi	Sub	6	0	0.534	0.508	0.548	0.6185	11168	0.0
Outer	Inter_lo	Diploid	6	0	0.5235000000000001	0.501	0.538	0.7605	28254	0.0
Outer	Inter_lo	Gain	6	0	0.5275000000000001	0.504	0.546	0.818	27214	0.0
Outer	Inter_hi	High	6	0	0.5245	0.509	0.59	0.3585	4908	0.0
Outer	Inter_lo	High	6	0	0.513	0.507	0.639	0.796	12892	0.0
Outer	NearHalf	Gain	6	0	0.523	0.51	0.645	0.587	14406	0.0
Outer	Inter_lo	Loss	5	0	0.554	0.51	0.604	0.618	1590	0.0
Outer	Inter_lo	Sub	6	0	0.527	0.506	0.627	0.744	17401	0.0
Outer	NearHalf	Diploid	6	0	0.508	0.5	0.586	0.607	30540	0.0
Outer	Inter_hi	Loss	5	0	0.555	0.519	0.643	0.652	1320	0.0
Inner	Extr_hi	Diploid	6	0	0.5065	0.503	0.514	0.5305	17426	0.0
Outer	Inter_hi	Gain	6	0	0.508	0.501	0.554	0.5255000000000001	12613	0.0
Outer	Inter_hi	Diploid	6	0	0.5235000000000001	0.513	0.542	0.5605	16236	0.0
Outer	Extr_lo	Sub	1	0	0.629	0.629	0.629	0.943	35	0.0
Outer	Extr_lo	High	3	0	0.634	0.625	0.643	0.977	238	0.0
Outer	Extr_hi	Loss	2	0	0.536	0.506	0.566	0.7615000000000001	138	0.0
Inner	Extr_hi	Gain	6	0	0.516	0.502	0.568	0.39749999999999996	3772	0.0
Inner	NearHalf	High	6	0	0.568	0.519	0.646	0.7015	2274	0.0
Inner	Extr_lo	Loss	1	0	0.534	0.534	0.534	0.786	42	0.0
Inner	Extr_lo	High	2	0	0.6074999999999999	0.576	0.639	0.827	84	0.0
Inner	Extr_hi	Sub	6	0	0.5075000000000001	0.501	0.512	0.5609999999999999	31566	0.0
Inner	Extr_hi	Loss	6	0	0.516	0.501	0.592	0.599	13033	0.0
Outer	NearHalf	Sub	6	0	0.509	0.501	0.542	0.641	23460	0.0
