version	side	n	TP_rate	HP_Ratio_AUC
baseline_old	Inner	23620	0.729	0.523
baseline_old	Outer	16593	0.673	0.502
baseline_old	All	40213	0.706	0.531
v5_new	Inner	24949	0.73	0.525
v5_new	Outer	15147	0.679	0.51
v5_new	All	40096	0.711	0.526
v4_altguard	Inner	24726	0.729	0.52
v4_altguard	Outer	15370	0.681	0.507
v4_altguard	All	40096	0.711	0.524
pononly_v2b	Inner	29191	0.712	0.544
pononly_v2b	Outer	11022	0.689	0.55
pononly_v2b	All	40213	0.706	0.535
v3fixed	Inner	24726	0.729	0.52
v3fixed	Outer	15370	0.681	0.507
v3fixed	All	40096	0.711	0.524
