sample	side	af_b	cn_t	n	HP	Methyl_LR	Combo_LR
HCC1395	Inner	NearHalf	Sub	1893	0.779	0.648	0.813
HCC1395	Inner	NearHalf	Loss	445	0.604	0.474	0.724
HCC1395	Inner	NearHalf	Diploid	1097	0.714	0.558	0.716
HCC1395	Inner	Inter_lo	Sub	1131	0.623	0.602	0.646
HCC1395	Inner	Inter_lo	Diploid	1923	0.679	0.592	0.666
HCC1395	Inner	Inter_lo	Gain	2004	0.681	0.636	0.698
HCC1395	Inner	Inter_hi	Diploid	606	0.669	0.578	0.67
HCC1395	Inner	Inter_hi	Gain	425	0.667	0.6	0.67
HCC1395	Inner	Inter_hi	High	309	0.684	0.584	0.652
HCC1395	Inner	Extr_hi	Diploid	2037	0.507	0.514	0.519
HCC1395	Outer	NearHalf	Diploid	1429	0.5	0.488	0.475
HCC1395_DORADO	Inner	NearHalf	Sub	1872	0.868	0.653	0.878
HCC1395_DORADO	Inner	NearHalf	Loss	201	0.832	0.739	0.914
HCC1395_DORADO	Inner	NearHalf	Diploid	1264	0.803	0.59	0.796
HCC1395_DORADO	Inner	Inter_lo	Sub	878	0.754	0.551	0.744
HCC1395_DORADO	Inner	Inter_lo	Diploid	1771	0.709	0.565	0.705
HCC1395_DORADO	Inner	Inter_lo	Gain	2162	0.726	0.648	0.751
HCC1395_DORADO	Inner	Inter_hi	Diploid	585	0.677	0.558	0.682
HCC1395_DORADO	Inner	Inter_hi	Gain	595	0.693	0.531	0.664
HCC1395_DORADO	Inner	Inter_hi	High	380	0.65	0.656	0.706
HCC1395_DORADO	Inner	Extr_hi	Diploid	2481	0.503	0.521	0.524
HCC1395_DORADO	Outer	NearHalf	Diploid	1206	0.513	0.497	0.503
HCC1937	Inner	NearHalf	Sub	703	0.826	0.608	0.804
HCC1937	Inner	NearHalf	Loss	103	0.658	0.322	0.409
HCC1937	Inner	NearHalf	Diploid	849	0.815	0.621	0.829
HCC1937	Inner	Inter_lo	Sub	1257	0.846	0.64	0.882
HCC1937	Inner	Inter_lo	Diploid	1266	0.773	0.704	0.827
HCC1937	Inner	Inter_lo	Gain	1067	0.746	0.663	0.786
HCC1937	Inner	Inter_hi	Diploid	255	0.755	0.594	0.775
HCC1937	Inner	Inter_hi	Gain	255	0.753	0.639	0.749
HCC1937	Inner	Inter_hi	High	106	0.635	0.648	0.679
HCC1937	Inner	Extr_hi	Diploid	2018	0.51	0.496	0.51
HCC1937	Outer	NearHalf	Diploid	1224	0.527	0.513	0.513
HCC1954	Inner	NearHalf	Sub	961	0.643	0.522	0.645
HCC1954	Inner	NearHalf	Loss	186	0.652	0.767	0.804
HCC1954	Inner	NearHalf	Diploid	1148	0.59	0.53	0.59
HCC1954	Inner	Inter_lo	Sub	1778	0.617	0.588	0.636
HCC1954	Inner	Inter_lo	Diploid	1988	0.628	0.615	0.66
HCC1954	Inner	Inter_lo	Gain	1151	0.595	0.59	0.625
HCC1954	Inner	Inter_hi	Diploid	1094	0.698	0.563	0.701
HCC1954	Inner	Inter_hi	Gain	640	0.81	0.431	0.753
HCC1954	Inner	Inter_hi	High	351	0.773	0.504	0.694
HCC1954	Inner	Extr_hi	Diploid	889	0.514	0.663	0.628
HCC1954	Outer	NearHalf	Diploid	5403	0.586	0.536	0.585
H2009	Inner	NearHalf	Sub	6822	0.71	0.579	0.724
H2009	Inner	NearHalf	Loss	217	0.53	0.702	0.54
H2009	Inner	NearHalf	Diploid	7058	0.684	0.525	0.674
H2009	Inner	Inter_lo	Sub	1542	0.761	0.55	0.738
H2009	Inner	Inter_lo	Diploid	2309	0.591	0.487	0.563
H2009	Inner	Inter_lo	Gain	3305	0.523	0.48	0.449
H2009	Inner	Inter_hi	Diploid	1243	0.529	0.481	0.453
H2009	Inner	Inter_hi	Gain	1799	0.512	0.586	0.584
H2009	Inner	Inter_hi	High	773	0.573	0.602	0.637
H2009	Inner	Extr_hi	Diploid	9573	0.504	0.615	0.615
H2009	Outer	NearHalf	Diploid	17133	0.503	0.581	0.581
H1437	Inner	NearHalf	Sub	1248	0.76	0.652	0.785
H1437	Inner	NearHalf	Loss	529	0.779	0.443	0.66
H1437	Inner	NearHalf	Diploid	1120	0.526	0.599	0.594
H1437	Inner	Inter_lo	Sub	1952	0.7	0.528	0.683
H1437	Inner	Inter_lo	Diploid	1938	0.593	0.546	0.599
H1437	Inner	Inter_lo	Gain	692	0.6	0.566	0.574
H1437	Inner	Inter_hi	Diploid	1325	0.589	0.516	0.594
H1437	Inner	Inter_hi	Gain	335	0.639	0.611	0.676
H1437	Inner	Extr_hi	Diploid	428	0.506	0.582	0.577
H1437	Outer	NearHalf	Diploid	4145	0.503	0.582	0.58
