side	af_b	cn_t	HP_med	Methyl_med	Combo_med	n_samp	uplift_methyl	uplift_combo
Inner	Extr_hi	Diploid	0.5065	0.5515	0.5505	6	0.045	0.044
Inner	Inter_hi	Diploid	0.673	0.5605	0.676	6	-0.113	0.003
Inner	Inter_hi	Gain	0.6799999999999999	0.593	0.673	6	-0.087	-0.007
Inner	Inter_hi	High	0.65	0.602	0.679	5	-0.048	0.029
Inner	Inter_lo	Diploid	0.6535	0.5785	0.663	6	-0.075	0.01
Inner	Inter_lo	Gain	0.6405000000000001	0.613	0.6615	6	-0.028	0.021
Inner	Inter_lo	Sub	0.727	0.5695	0.7105	6	-0.157	-0.016
Inner	NearHalf	Diploid	0.6990000000000001	0.5740000000000001	0.6950000000000001	6	-0.125	-0.004
Inner	NearHalf	Loss	0.655	0.588	0.692	6	-0.067	0.037
Inner	NearHalf	Sub	0.7695000000000001	0.628	0.7945	6	-0.142	0.025
Outer	NearHalf	Diploid	0.508	0.5245	0.5465	6	0.016	0.038
