version	feature	med	AUC_All	AUC_Inner	AUC_Outer
baseline_old	HPMergedDelta	0.0	0.517	0.503	0.513
baseline_old	AlleleDelta	0.014	0.541	0.605	0.522
baseline_old	HPFineF	3.981	0.576	0.652	0.52
baseline_old	PairwiseMeanDist	0.214	0.525	0.528	0.529
baseline_old	CramersV	0.0	0.507	0.511	0.506
baseline_old	GlobalP	0.467	0.533	0.554	0.521
v5_new	HPMergedDelta	0.0	0.514	0.501	0.513
v5_new	AlleleDelta	0.014	0.543	0.597	0.52
v5_new	HPFineF	3.314	0.584	0.641	0.517
v5_new	PairwiseMeanDist	0.215	0.528	0.529	0.533
v5_new	CramersV	0.0	0.506	0.51	0.505
v5_new	GlobalP	0.458	0.53	0.55	0.514
