class	C_min	excluded_pairs	excluded_pct	total_pairs	binary_log_valid_ratio	binary_log_avg_common
tp	1	6034334	3.364	179382725	88.0	12.97
tp	2	11160434	6.222	179382725	88.0	12.97
tp	3	17354491	9.675	179382725	88.0	12.97
tp	4	24772766	13.810	179382725	88.0	12.97
tp	5	33513381	18.683	179382725	88.0	12.97
tp	6	43035983	23.991	179382725	88.0	12.97
tp	7	52946701	29.516	179382725	88.0	12.97
tp	8	62731832	34.971	179382725	88.0	12.97
tp	9	72037396	40.158	179382725	88.0	12.97
tp	10	80880091	45.088	179382725	88.0	12.97
tp	11	89120552	49.682	179382725	88.0	12.97
tp	12	96695203	53.904	179382725	88.0	12.97
tp	13	103587198	57.746	179382725	88.0	12.97
tp	14	109783428	61.201	179382725	88.0	12.97
tp	15	115433899	64.351	179382725	88.0	12.97
fp	1	1023721	4.276	23940789	86.2	12.97
fp	2	1820245	7.603	23940789	86.2	12.97
fp	3	2729967	11.403	23940789	86.2	12.97
fp	4	3769434	15.745	23940789	86.2	12.97
fp	5	4880638	20.386	23940789	86.2	12.97
fp	6	6060930	25.316	23940789	86.2	12.97
fp	7	7276338	30.393	23940789	86.2	12.97
fp	8	8497179	35.492	23940789	86.2	12.97
fp	9	9673196	40.405	23940789	86.2	12.97
fp	10	10745080	44.882	23940789	86.2	12.97
fp	11	11723361	48.968	23940789	86.2	12.97
fp	12	12613332	52.686	23940789	86.2	12.97
fp	13	13460297	56.223	23940789	86.2	12.97
fp	14	14295351	59.711	23940789	86.2	12.97
fp	15	15047685	62.854	23940789	86.2	12.97
fn	1	25612	4.302	595324	79.5	13.01
fn	2	59126	9.932	595324	79.5	13.01
fn	3	105751	17.764	595324	79.5	13.01
fn	4	142359	23.913	595324	79.5	13.01
fn	5	171771	28.853	595324	79.5	13.01
fn	6	205221	34.472	595324	79.5	13.01
fn	7	235406	39.543	595324	79.5	13.01
fn	8	268751	45.144	595324	79.5	13.01
fn	9	301005	50.562	595324	79.5	13.01
fn	10	329799	55.398	595324	79.5	13.01
fn	11	359668	60.416	595324	79.5	13.01
fn	12	388702	65.293	595324	79.5	13.01
fn	13	412246	69.247	595324	79.5	13.01
fn	14	426589	71.657	595324	79.5	13.01
fn	15	440402	73.977	595324	79.5	13.01
