class	min_site_coverage	excluded_columns	excluded_pct	total_columns
tp	1	0	0.000	603373
tp	2	1035	0.172	603373
tp	3	1397	0.232	603373
tp	4	1526	0.253	603373
tp	5	1598	0.265	603373
tp	6	1648	0.273	603373
tp	7	1708	0.283	603373
tp	8	1811	0.300	603373
tp	9	1938	0.321	603373
tp	10	2086	0.346	603373
tp	11	2263	0.375	603373
tp	12	2474	0.410	603373
tp	13	2663	0.441	603373
tp	14	2884	0.478	603373
tp	15	3101	0.514	603373
fp	1	0	0.000	97567
fp	2	121	0.124	97567
fp	3	198	0.203	97567
fp	4	267	0.274	97567
fp	5	308	0.316	97567
fp	6	329	0.337	97567
fp	7	361	0.370	97567
fp	8	384	0.394	97567
fp	9	414	0.424	97567
fp	10	458	0.469	97567
fp	11	491	0.503	97567
fp	12	554	0.568	97567
fp	13	594	0.609	97567
fp	14	643	0.659	97567
fp	15	721	0.739	97567
fn	1	0	0.000	2253
fn	2	3	0.133	2253
fn	3	5	0.222	2253
fn	4	6	0.266	2253
fn	5	6	0.266	2253
fn	6	6	0.266	2253
fn	7	6	0.266	2253
fn	8	7	0.311	2253
fn	9	8	0.355	2253
fn	10	9	0.399	2253
fn	11	10	0.444	2253
fn	12	10	0.444	2253
fn	13	10	0.444	2253
fn	14	11	0.488	2253
fn	15	11	0.488	2253
