RegionID	NumReads	NumCpGs	VC_maxdist	VC_skip	Sig_maxdist	Sig_skip	CramersV_maxdist	CramersV_skip	PermanovaP_maxdist	PermanovaP_skip	PermanovaValid_maxdist	PermanovaValid_skip
0	113	126	Weak	Strong	False	False	0	0	1	0.01	False	True
1	100	511	Weak	Strong	False	False	0	0	1	0.01	False	True
4	136	311	Weak	Noise	False	False	0	0	1	1	False	False
7	113	444	Weak	Strong	False	False	0	0	1	0.01	False	True
10	86	337	Weak	Strong	False	True	0	1	1	0.01	False	True
11	94	398	Strong	Strong	True	False	0.4827	0	0.01	0.01	True	True
12	108	311	Weak	Strong	False	False	0	0	1	0.01	False	True
14	95	323	Strong	Strong	False	True	0	1	0.01	0.01	True	True
19	102	234	Strong	Strong	True	False	0.6148	0	0.01	0.01	True	True
20	98	98	Weak	Strong	False	False	0	0	1	0.01	False	True
22	116	302	Weak	Strong	False	True	0	0.901	0.01	0.01	True	True
23	94	317	Strong	Strong	False	True	0	0.965	0.01	0.01	True	True
24	83	235	Weak	Strong	False	True	0	0.512	1	0.01	False	True
25	104	314	Strong	Weak	False	False	0	0	0.01	1	True	False
26	106	40	Weak	Strong	False	True	0	0.9693	1	0.01	False	True
27	112	169	Noise	Strong	False	False	0	0	1	0.01	False	True
28	117	246	Strong	Strong	False	True	0	1	0.01	0.01	True	True
29	106	51	Weak	Strong	False	True	0	0.8126	1	0.01	False	True
30	96	86	Weak	Strong	False	True	0	0.9199	1	0.01	False	True
31	84	142	Weak	Strong	False	False	0	0	1	0.01	False	True
32	75	150	Weak	Strong	False	False	0	0	1	0.01	False	True
33	101	71	Weak	Strong	False	False	0	0	1	0.01	False	True
34	97	93	Weak	Strong	False	True	0	0.8264	1	0.01	False	True
35	104	69	Weak	Strong	False	False	0	0	1	0.01	False	True
36	76	160	Weak	Strong	False	False	0	0	1	0.01	False	True
37	106	38	Weak	Strong	False	False	0	0	1	0.01	False	True
38	99	71	Weak	Strong	False	False	0	0	1	0.01	False	True
39	109	84	Weak	Strong	False	False	0	0	1	0.01	False	True
40	106	175	Weak	Strong	False	True	0	0.9648	1	0.01	False	True
41	115	149	Weak	Strong	False	True	0	0.9555	1	0.01	False	True
44	93	150	Strong	Weak	False	False	0	0	0.01	1	True	False
46	108	376	Weak	Strong	False	True	0	0.9668	1	0.01	False	True
47	133	351	Strong	Weak	True	False	0.3242	0	0.01	1	True	False
49	103	216	Strong	Strong	False	True	0	0.9633	0.01	0.01	True	True
50	123	184	Strong	Strong	True	False	0.9035	0	0.01	0.01	True	True
52	112	137	Strong	Strong	False	True	0	0.9727	0.01	0.01	True	True
53	111	137	Strong	Strong	False	True	0	1	0.01	0.01	True	True
54	114	154	Strong	Strong	False	True	0	1	0.01	0.01	True	True
55	113	171	Weak	Strong	False	True	0	1	1	0.01	False	True
60	116	90	Weak	Noise	False	False	0	0	0.01	1	True	False
61	106	188	Weak	Strong	False	False	0	0	1	0.01	False	True
64	99	131	Weak	Strong	False	False	0	0	1	0.01	False	True
67	97	187	Weak	Strong	False	False	0	0	1	0.01	False	True
69	147	305	Weak	Strong	False	True	0	0.6272	1	0.01	False	True
72	124	154	Strong	Weak	False	False	0	0	0.01	1	True	False
74	127	165	Weak	Noise	False	False	0	0	1	1	False	False
76	122	247	Strong	Strong	False	True	0	0.9454	0.01	0.01	True	True
77	131	197	Strong	Weak	False	False	0	0	0.01	1	True	False
80	132	172	Weak	Subclone	False	False	0	0	0.01	0.01	True	True
81	123	177	Weak	Strong	False	False	0	0	1	0.01	False	True
82	133	263	Weak	Strong	False	True	0	1	1	0.01	False	True
83	124	166	Weak	Strong	False	False	0	0	1	0.01	False	True
84	100	74	Weak	Strong	False	False	0	0	1	0.01	False	True
85	139	191	Strong	Strong	False	True	0	0.5657	0.01	0.01	True	True
86	125	232	Weak	Strong	False	True	0	0.2818	1	0.01	False	True
87	120	289	Weak	Strong	False	False	0	0	1	0.01	False	True
88	141	165	Strong	Strong	True	False	0.5768	0	0.01	0.01	True	True
89	130	183	Weak	Strong	False	True	0	0.6056	1	0.01	False	True
91	146	151	Weak	Strong	False	True	0	0.3063	0.01	0.01	True	True
95	156	81	Strong	Strong	True	False	0.5133	0	0.01	0.01	True	True
96	114	155	Weak	Strong	False	False	0	0	1	0.01	False	True
97	135	109	Weak	Strong	False	False	0	0	0.01	0.01	True	True
98	118	88	Weak	Strong	False	False	0	0	1	0.01	False	True
99	116	88	Weak	Strong	False	False	0	0	1	0.01	False	True
100	113	40	Weak	Strong	False	False	0	0	1	0.01	False	True
101	103	88	Weak	Strong	False	True	0	0.6559	1	0.01	False	True
102	114	98	Weak	Strong	False	False	0	0	1	0.01	False	True
103	100	217	Weak	Strong	False	False	0	0	1	0.01	False	True
106	127	89	Strong	Strong	False	True	0	0.6708	0.01	0.01	True	True
107	106	93	Weak	Strong	False	False	0	0	1	0.01	False	True
108	114	82	Weak	Strong	False	False	0	0	1	0.01	False	True
109	127	65	Weak	Strong	False	True	0	0.8877	0.01	0.01	True	True
111	121	84	Weak	Strong	False	True	0	0.3908	1	0.01	False	True
112	141	69	Weak	Strong	False	False	0	0	0.01	0.01	True	True
113	99	110	Weak	Strong	False	True	0	0.6053	1	0.01	False	True
114	80	106	Weak	Strong	False	True	0	1	1	0.01	False	True
115	131	144	Weak	Strong	False	False	0	0	0.01	0.01	True	True
116	128	147	Strong	Strong	True	False	0.6361	0	0.01	0.01	True	True
117	113	145	Weak	Strong	False	True	0	0.9167	1	0.01	False	True
122	131	210	Strong	Strong	False	True	0	1	0.01	0.01	True	True
123	115	188	Strong	Strong	True	False	0.3588	0	0.01	0.01	True	True
124	129	138	Strong	Weak	False	False	0	0	0.01	1	True	False
127	278	225	Weak	Strong	False	False	0	0	1	0.01	False	True
129	136	157	Weak	Strong	False	False	0	0	1	0.01	False	True
130	109	274	Weak	Strong	False	False	0	0	0.01	0.01	True	True
132	113	98	Weak	Strong	False	False	0	0	1	0.01	False	True
134	91	271	Weak	Noise	False	False	0	0	1	1	False	False
136	136	425	Weak	Strong	False	False	0	0	1	0.01	False	True
137	141	167	Weak	Strong	False	False	0	0	1	0.01	False	True
138	134	126	Weak	Strong	False	False	0	0	1	0.01	False	True
