RegionID	NumReads	NumCpGs	VC_maxdist	VC_skip	Sig_maxdist	Sig_skip	CramersV_maxdist	CramersV_skip	PermanovaP_maxdist	PermanovaP_skip	PermanovaValid_maxdist	PermanovaValid_skip
0	113	126	Weak	Strong	False	False	0	0	1	0.01	False	True
1	100	511	Weak	Strong	False	False	0	0	1	0.01	False	True
2	85	513	Weak	Weak	False	False	0	0	1	1	False	False
3	82	437	Strong	Strong	False	False	0	0	0.01	0.01	True	True
4	136	311	Weak	Noise	False	False	0	0	1	1	False	False
5	105	371	Weak	Weak	False	False	0	0	1	1	False	False
6	102	525	Weak	Weak	False	False	0	0	1	1	False	False
7	113	444	Weak	Strong	False	False	0	0	1	0.01	False	True
8	101	412	Weak	Weak	False	False	0	0	1	1	False	False
9	111	300	Strong	Strong	True	True	0.3785	0.9667	0.01	0.01	True	True
10	86	337	Weak	Strong	False	True	0	1	1	0.01	False	True
11	94	398	Strong	Strong	True	False	0.4827	0	0.01	0.01	True	True
12	108	311	Weak	Strong	False	False	0	0	1	0.01	False	True
13	89	338	Strong	Strong	True	True	0.6691	1	0.01	0.01	True	True
14	95	323	Strong	Strong	False	True	0	1	0.01	0.01	True	True
15	92	246	Strong	Strong	True	True	0.9373	0.8962	0.01	0.01	True	True
16	100	432	Strong	Strong	False	False	0	0	0.01	0.01	True	True
17	93	243	Strong	Strong	False	False	0	0	0.01	0.01	True	True
18	129	290	Strong	Strong	True	True	0.7634	0.9256	0.01	0.01	True	True
19	102	234	Strong	Strong	True	False	0.6148	0	0.01	0.01	True	True
20	98	98	Weak	Strong	False	False	0	0	1	0.01	False	True
21	91	312	Strong	Strong	True	True	0.9333	0.9309	0.01	0.01	True	True
22	116	302	Weak	Strong	False	True	0	0.901	0.01	0.01	True	True
23	94	317	Strong	Strong	False	True	0	0.965	0.01	0.01	True	True
24	83	235	Weak	Strong	False	True	0	0.512	1	0.01	False	True
25	104	314	Strong	Weak	False	False	0	0	0.01	1	True	False
26	106	40	Weak	Strong	False	True	0	0.9693	1	0.01	False	True
27	112	169	Noise	Strong	False	False	0	0	1	0.01	False	True
28	117	246	Strong	Strong	False	True	0	1	0.01	0.01	True	True
29	106	51	Weak	Strong	False	True	0	0.8126	1	0.01	False	True
30	96	86	Weak	Strong	False	True	0	0.9199	1	0.01	False	True
31	84	142	Weak	Strong	False	False	0	0	1	0.01	False	True
32	75	150	Weak	Strong	False	False	0	0	1	0.01	False	True
33	101	71	Weak	Strong	False	False	0	0	1	0.01	False	True
34	97	93	Weak	Strong	False	True	0	0.8264	1	0.01	False	True
35	104	69	Weak	Strong	False	False	0	0	1	0.01	False	True
36	76	160	Weak	Strong	False	False	0	0	1	0.01	False	True
37	106	38	Weak	Strong	False	False	0	0	1	0.01	False	True
38	99	71	Weak	Strong	False	False	0	0	1	0.01	False	True
39	109	84	Weak	Strong	False	False	0	0	1	0.01	False	True
40	106	175	Weak	Strong	False	True	0	0.9648	1	0.01	False	True
41	115	149	Weak	Strong	False	True	0	0.9555	1	0.01	False	True
42	130	181	Strong	Strong	False	False	0	0	0.01	0.01	True	True
43	131	182	Strong	Strong	False	False	0	0	0.01	0.01	True	True
44	93	150	Strong	Weak	False	False	0	0	0.01	1	True	False
45	99	158	Weak	Weak	False	False	0.1057	0	1	1	False	False
46	108	376	Weak	Strong	False	True	0	0.9668	1	0.01	False	True
47	133	351	Strong	Weak	True	False	0.3242	0	0.01	1	True	False
48	97	280	Weak	Weak	False	False	0	0	1	1	False	False
49	103	216	Strong	Strong	False	True	0	0.9633	0.01	0.01	True	True
50	123	184	Strong	Strong	True	False	0.9035	0	0.01	0.01	True	True
51	100	182	Strong	Strong	True	True	1	1	0.01	0.01	True	True
52	112	137	Strong	Strong	False	True	0	0.9727	0.01	0.01	True	True
53	111	137	Strong	Strong	False	True	0	1	0.01	0.01	True	True
54	114	154	Strong	Strong	False	True	0	1	0.01	0.01	True	True
55	113	171	Weak	Strong	False	True	0	1	1	0.01	False	True
56	99	214	Weak	Weak	False	False	0	0	1	1	False	False
57	109	118	Weak	Weak	False	False	0	0	1	1	False	False
58	111	74	Weak	Weak	False	False	0	0	1	1	False	False
59	121	120	Strong	Strong	False	False	0	0	0.01	0.01	True	True
60	116	90	Weak	Noise	False	False	0	0	0.01	1	True	False
61	106	188	Weak	Strong	False	False	0	0	1	0.01	False	True
62	100	141	Strong	Strong	False	False	0	0	0.01	0.01	True	True
63	95	127	Strong	Strong	False	False	0	0	0.01	0.01	True	True
64	99	131	Weak	Strong	False	False	0	0	1	0.01	False	True
65	104	131	Weak	Weak	False	False	0	0	1	1	False	False
66	100	216	Weak	Weak	False	False	0	0	1	1	False	False
67	97	187	Weak	Strong	False	False	0	0	1	0.01	False	True
68	111	156	Weak	Weak	False	False	0	0	1	1	False	False
69	147	305	Weak	Strong	False	True	0	0.6272	1	0.01	False	True
70	148	158	Weak	Weak	False	False	0	0	1	1	False	False
71	119	196	Weak	Weak	False	False	0	0	1	1	False	False
72	124	154	Strong	Weak	False	False	0	0	0.01	1	True	False
73	117	164	Weak	Weak	False	False	0	0	1	1	False	False
74	127	165	Weak	Noise	False	False	0	0	1	1	False	False
75	111	246	Strong	Strong	False	False	0	0	0.01	0.01	True	True
76	122	247	Strong	Strong	False	True	0	0.9454	0.01	0.01	True	True
77	131	197	Strong	Weak	False	False	0	0	0.01	1	True	False
78	114	159	Noise	Noise	False	False	0	0	1	1	False	False
79	123	125	Weak	Weak	False	False	0	0	1	1	False	False
80	132	172	Weak	Subclone	False	False	0	0	0.01	0.01	True	True
81	123	177	Weak	Strong	False	False	0	0	1	0.01	False	True
82	133	263	Weak	Strong	False	True	0	1	1	0.01	False	True
83	124	166	Weak	Strong	False	False	0	0	1	0.01	False	True
84	100	74	Weak	Strong	False	False	0	0	1	0.01	False	True
85	139	191	Strong	Strong	False	True	0	0.5657	0.01	0.01	True	True
86	125	232	Weak	Strong	False	True	0	0.2818	1	0.01	False	True
87	120	289	Weak	Strong	False	False	0	0	1	0.01	False	True
88	141	165	Strong	Strong	True	False	0.5768	0	0.01	0.01	True	True
89	130	183	Weak	Strong	False	True	0	0.6056	1	0.01	False	True
90	119	193	Weak	Weak	False	False	0	0	1	1	False	False
