project	bytes	files	builder_scripts	intermediate_hits
20260710_layered_reconstruction_v2	230805338	353	10	6
20260711_read_group_C_tree_T_topology_report	67189620	42	8	8
20260712_hcc1395_pair_coarse_topology_gene_drug_validation	43469952	55	9	7
20260712_hcc1395_pair_site_topology_containment_validation	14156605	34	7	5
20260712_read_weighted_hypercube_tree	46085	1	0	0
20260712_vaf_ccf_subclone_crosssoftware_validation	1571502419	15262	4467	4463
20260712_vaf_selected_regional_topology	22171	2	0	0
20260712_vaf_selected_shape_four_class_census	8068636	9	1	1
20260713_crosssample_structure_bulk_sampling_adjustment	10330689	79	5	4
20260713_hp_readstate_clone_identifiability	28190	1	0	0
20260714_cross_hp_clone_state_inverse_audit	4827762	33	7	7
20260714_hcc1395_unknown_k_clone_state_consistency	8197111	9	3	2
20260714_layered_workstation_redesign	29325	3	0	0
20260714_verification_region_stratifier_schema_repair	233209	7	0	0
20260715_all_ssnv_focal_alt_multigroup_cooccurrence_validation	1137811284	31348	635	29033
20260715_layered_workstation_concept_dimensions	23743	2	0	0
20260715_layered_workstation_genome_topology_multiselect	153900658	71	3	3
20260715_layered_workstation_sample_overview	30159	5	0	0
20260715_sample_topology_comparison	5033589	54	5	5
20260715_single_fp_alt_multicluster_subclone_validation	71071394	122	20	22
20260716_read_linked_hypercube_exact_likelihood_validation	89337405	226	43	63
20260717_bam_read_n50_validation	17926	2	0	0
20260718_hypercube_exact_preserving_solver_cache_remediation	29582	4	0	0
20260718_k_gt8_read_supported_segmentation	28676396	147	21	43
20260718_perfect_phylogeny_constraint_pilot	114259	5	3	0
20260718_singleton_alt_methyl_substructure_validation	19776216	115	11	3
20260718_solver_methyl_edge_probe	5390272	548	52	273
20260719_longlineage_cpp_rebuild	36386	4	0	0
20260722_exact_ps_k12_hcc1395_pilot	2602681	48	14	23
20260722_hcc1395_ps_block_hp_orientation_audit	2411658	40	4	12
20260723_hcc1395_crosssource_topology_resolution	2005660	21	3	3
20260723_hcc1395_singleton_alt_methyl_multigroup_visual_report	4871963	20	2	2
20260723_k_gt12_chain_validity_audit	170583	9	2	1
20260723_production_exact_ps_strict_read_linkage	20680346	206	13	14
20260723_strict_two_ssnv_phaseblock_validation	139423	8	3	1
20260724_all_ssnv_representative_locus_explanation	989027	13	1	0
20260724_exact_ps_cpp_topology_af_all_samples	4839313	23	8	0
20260724_exact_ps_cpp_topology_signature_census	118245547	664	12	14
20260724_likelihood_cpp_production_readiness	3904663	12	1	1
20260724_likelihood_vaf_edge_identifiability_audit	34120	2	0	0
20260724_methyl_linked_ssnv_g1_visual_report	1982265	12	2	2
20260725_crosssample_topology_matrix_report	7687536	109	4	4
20260725_hypercube_computation_complexity_explainer	1116122	18	3	3
20260725_methyl_alt_ref_topology_overlay_validation	1284649	27	2	1
20260726_m1_locus_annotation_layer	52608148	38	9	9
20260727_hcc1395_chr9_s4_s5_raw_bridge_audit	67020	4	1	0
20260727_layered_workstation_shared_genome_scale	10120	1	0	0
20260727_multisite_pattern_methyl_topology_validation	768412	27	18	2
20260730_h2009_terminal_alt_methyl_upgma_visual	2036068	21	3	2
20260801_exact_ps_observation_report	221184	14	5	5
20260810_cnv_confound_seqc2_savana_audit	18586044	77	23	23
20260811_ccu_lab_tutorial_claim_audit	21647	5	0	0
20260812_intersubmod_github_public_docs_full_validation	6232140	17	1	0
20260813_hcc1395_drilldown_validation	10604880	102	9	14
20260813_public_docs_p0_correction	23456	3	0	0
B2_loh_skeptical_check	40400	7	1	0
F_hpfinengroups_deepening	3387788	81	17	0
P3_window_aggregation_pilot	254112	6	2	0
P4_second_hit_order_pilot	247032	5	1	0
autoresearch	517722	24	1	0
clairs_to_verdict_pilot	298034050	8	2	0
coverage_multiple_validation	1659258	20	3	0
data_registry	11994	2	0	0
external_tools	9985	1	0	0
feature_layered_observation	459657807	419	20	3
flagship_chr2_18086020_20260612	252781	27	0	0
fp_provenance	59753338	26	0	0
germline_asm_analysis	2675182	10	0	0
hcc1954_reversal_investigation	36393	7	1	0
hku_collaboration	19847201	84	17	3
hpfinengroups_saturation_check	74034	13	3	0
igv_sessions	237140	22	0	0
implementation_notes_skill_spec	13655	1	0	0
independent_analyses_20260411	13470	3	0	0
kde_fix_validation	6789560	34	7	0
literature_validation	1679212	13	3	0
loh_cn_af_verification	759772	7	0	0
loh_investigation	46293563	211	5	0
loh_subclone_af	4831420	28	3	0
loh_subclone_af_paired	4719807	40	6	1
methyl_augmented_filter_phase2	90770393	200	33	3
ng_kde_rescaling	35932303	57	11	2
paired_priority_bug_audit	PATHOLOGICAL	-1	-1	-1
partB_effect_size_cn_stratification	34685	5	1	0
partB_high_nr_validation	31353	6	1	0
pre_decision_audit_skill_spec	12955	1	0	0
purity06_fp_filter_reopen	19628	4	1	0
selfphasing_v6_production	42512	4	0	0
seqc2_cnv_stratification	31808276	52	0	0
subclonal_reconstruction	6257	1	0	0
thread_d_paper	30858	3	0	0
to_pipeline_staging	35357682	21	4	0
tpfp_loh_af_kde_discrimination	33493123	149	22	2
tsg_promoter_asm_reviewer	PATHOLOGICAL	-1	-1	-1
v5_provenance_followup	2260614371	15	1	0
v6_bam_tpfp_hp_loh_cn	203106032	235	35	10
vaf_alleledelta_filter_study	9742194	47	4	0
z3_internal_feature_exploration	11347737	29	6	0
zone_aware_validation	1133548	15	0	0
