section	metric	value	sample	mode	truth_label
genome_median_depth	---	---			
genome_median_depth	median_NumReads	29.0	COLO829	paired	
genome_median_depth	median_NumReads	29.0	COLO829	to	
genome_median_depth	median_NumReads	70.0	H1437	paired	
genome_median_depth	median_NumReads	71.0	H1437	to	
genome_median_depth	median_NumReads	89.0	H2009	paired	
genome_median_depth	median_NumReads	88.0	H2009	to	
genome_median_depth	median_NumReads	66.0	HCC1395	paired	
genome_median_depth	median_NumReads	66.0	HCC1395	to	
genome_median_depth	median_NumReads	70.0	HCC1395_DORADO	paired	
genome_median_depth	median_NumReads	69.0	HCC1395_DORADO	to	
genome_median_depth	median_NumReads	102.0	HCC1937	paired	
genome_median_depth	median_NumReads	103.0	HCC1937	to	
genome_median_depth	median_NumReads	65.0	HCC1954	paired	
genome_median_depth	median_NumReads	65.0	HCC1954	to	
loh_cn_composition	---	---			
loh_cn_composition	Deep deletion	622 (0.6%)		paired	
loh_cn_composition	Copy loss	28132 (29.1%)		paired	
loh_cn_composition	Copy neutral	59696 (61.8%)		paired	
loh_cn_composition	Copy gain	7114 (7.4%)		paired	
loh_cn_composition	High amplification	1041 (1.1%)		paired	
loh_cn_composition	Deep deletion	1022 (0.6%)		to	
loh_cn_composition	Copy loss	41383 (23.6%)		to	
loh_cn_composition	Copy neutral	105443 (60.1%)		to	
loh_cn_composition	Copy gain	22600 (12.9%)		to	
loh_cn_composition	High amplification	5086 (2.9%)		to	
loh_cn_per_sample	---	---			
loh_cn_per_sample	Deep deletion	150 (1.0%)	HCC1395	paired	
loh_cn_per_sample	Copy loss	5166 (35.9%)	HCC1395	paired	
loh_cn_per_sample	Copy neutral	6990 (48.5%)	HCC1395	paired	
loh_cn_per_sample	Copy gain	1730 (12.0%)	HCC1395	paired	
loh_cn_per_sample	High amplification	369 (2.6%)	HCC1395	paired	
loh_cn_per_sample	Deep deletion	133 (1.0%)	HCC1395_DORADO	paired	
loh_cn_per_sample	Copy loss	4553 (33.8%)	HCC1395_DORADO	paired	
loh_cn_per_sample	Copy neutral	6688 (49.6%)	HCC1395_DORADO	paired	
loh_cn_per_sample	Copy gain	1732 (12.8%)	HCC1395_DORADO	paired	
loh_cn_per_sample	High amplification	374 (2.8%)	HCC1395_DORADO	paired	
loh_cn_per_sample	Deep deletion	0 (0.0%)	COLO829	paired	
loh_cn_per_sample	Copy loss	2937 (38.8%)	COLO829	paired	
loh_cn_per_sample	Copy neutral	3916 (51.7%)	COLO829	paired	
loh_cn_per_sample	Copy gain	688 (9.1%)	COLO829	paired	
loh_cn_per_sample	High amplification	27 (0.4%)	COLO829	paired	
loh_cn_per_sample	Deep deletion	33 (0.2%)	H1437	paired	
loh_cn_per_sample	Copy loss	5793 (41.1%)	H1437	paired	
loh_cn_per_sample	Copy neutral	7533 (53.4%)	H1437	paired	
loh_cn_per_sample	Copy gain	675 (4.8%)	H1437	paired	
loh_cn_per_sample	High amplification	67 (0.5%)	H1437	paired	
loh_cn_per_sample	Deep deletion	144 (0.4%)	H2009	paired	
loh_cn_per_sample	Copy loss	7827 (20.6%)	H2009	paired	
loh_cn_per_sample	Copy neutral	29003 (76.2%)	H2009	paired	
loh_cn_per_sample	Copy gain	979 (2.6%)	H2009	paired	
loh_cn_per_sample	High amplification	103 (0.3%)	H2009	paired	
loh_cn_per_sample	Deep deletion	152 (2.2%)	HCC1937	paired	
loh_cn_per_sample	Copy loss	1522 (21.6%)	HCC1937	paired	
loh_cn_per_sample	Copy neutral	4404 (62.5%)	HCC1937	paired	
loh_cn_per_sample	Copy gain	934 (13.3%)	HCC1937	paired	
loh_cn_per_sample	High amplification	34 (0.5%)	HCC1937	paired	
loh_cn_per_sample	Deep deletion	10 (0.5%)	HCC1954	paired	
loh_cn_per_sample	Copy loss	334 (17.1%)	HCC1954	paired	
loh_cn_per_sample	Copy neutral	1162 (59.6%)	HCC1954	paired	
loh_cn_per_sample	Copy gain	376 (19.3%)	HCC1954	paired	
loh_cn_per_sample	High amplification	67 (3.4%)	HCC1954	paired	
loh_cn_per_sample	Deep deletion	219 (0.9%)	HCC1395	to	
loh_cn_per_sample	Copy loss	7321 (31.1%)	HCC1395	to	
loh_cn_per_sample	Copy neutral	11511 (48.8%)	HCC1395	to	
loh_cn_per_sample	Copy gain	3685 (15.6%)	HCC1395	to	
loh_cn_per_sample	High amplification	836 (3.5%)	HCC1395	to	
loh_cn_per_sample	Deep deletion	216 (0.9%)	HCC1395_DORADO	to	
