sample	mode	truth_label	loh_status	count	median_NumReads	mean_NumReads	std_NumReads	q25_NumReads	q75_NumReads	median_hp_imbalance	mean_hp_imbalance	median_HP1FamilyN	median_HP2FamilyN	median_NHP0
HCC1395	paired	FP	LOH	302	71.00	68.95	19.88	58.25	80.00	0.97	0.95	3.00	50.00	3.00
HCC1395	paired	FP	non-LOH	325	76.00	77.57	20.16	66.00	87.00	0.60	0.52	14.00	42.00	9.00
HCC1395	paired	TP	LOH	14103	52.00	59.48	27.55	41.00	71.00	1.00	0.98	22.00	2.00	0.00
HCC1395	paired	TP	non-LOH	15637	77.00	81.09	28.23	61.00	96.00	0.26	0.30	31.00	33.00	2.00
HCC1395	to	FP	LOH	6303	54.00	61.71	30.74	42.00	73.00	1.00	0.98	41.00	0.00	1.00
HCC1395	to	FP	non-LOH	5298	75.00	80.53	28.79	61.00	95.00	0.27	0.31	34.00	38.00	0.00
HCC1395	to	TP	LOH	17269	57.00	64.75	30.10	44.00	79.00	1.00	0.98	43.00	0.00	2.00
HCC1395	to	TP	non-LOH	11226	77.00	81.07	28.47	62.00	96.00	0.28	0.31	33.00	37.00	0.00
HCC1395_DORADO	paired	FP	LOH	135	50.00	55.44	25.21	38.00	68.00	1.00	0.99	1.00	26.00	0.00
HCC1395_DORADO	paired	FP	non-LOH	105	80.00	86.60	35.32	63.00	102.00	0.35	0.34	24.00	23.00	5.00
HCC1395_DORADO	paired	TP	LOH	13345	56.00	64.14	29.42	45.00	77.00	1.00	0.99	2.00	9.00	0.00
HCC1395_DORADO	paired	TP	non-LOH	16538	79.00	83.55	29.68	63.00	99.75	0.26	0.30	28.00	29.00	1.00
HCC1395_DORADO	to	FP	LOH	6477	57.00	65.61	32.15	45.00	79.00	1.00	0.99	45.00	0.00	0.00
HCC1395_DORADO	to	FP	non-LOH	5095	80.00	86.04	32.84	65.00	100.00	0.25	0.29	35.00	40.00	0.00
HCC1395_DORADO	to	TP	LOH	17764	60.00	68.14	31.30	46.00	83.00	1.00	0.99	45.00	0.00	0.00
HCC1395_DORADO	to	TP	non-LOH	11092	81.00	86.18	28.59	66.00	101.00	0.27	0.31	34.00	40.00	0.00
COLO829	paired	FP	LOH	522	23.00	24.30	9.25	17.00	29.00	1.00	0.98	1.00	11.00	0.00
COLO829	paired	FP	non-LOH	1722	30.00	31.47	10.38	25.00	37.00	0.26	0.29	14.00	14.00	0.00
COLO829	paired	TP	LOH	7046	23.00	24.46	9.22	18.00	29.00	1.00	0.99	10.50	1.00	0.00
COLO829	paired	TP	non-LOH	27925	31.00	31.26	9.75	25.00	37.00	0.22	0.26	14.00	14.00	0.00
COLO829	to	FP	LOH	5922	25.00	26.74	10.99	19.00	33.00	1.00	0.99	16.00	0.00	0.00
COLO829	to	FP	non-LOH	11606	32.00	32.92	11.63	26.00	38.00	0.24	0.28	13.00	15.00	0.00
COLO829	to	TP	LOH	11697	24.00	26.12	9.74	19.00	32.00	1.00	0.99	16.00	0.00	0.00
COLO829	to	TP	non-LOH	21392	31.00	31.97	9.40	26.00	37.00	0.23	0.27	13.00	15.00	0.00
H1437	paired	FP	LOH	3	37.00	43.67	13.32	36.00	48.00	1.00	1.00	0.00	35.00	0.00
H1437	paired	FP	non-LOH	5	73.00	68.60	8.38	66.00	74.00	0.57	0.57	0.00	0.00	30.00
H1437	paired	TP	LOH	14098	51.00	55.32	20.34	44.00	61.00	1.00	0.99	34.00	0.00	0.00
H1437	paired	TP	non-LOH	53369	73.00	75.88	19.36	64.00	84.00	0.30	0.30	22.00	21.00	2.00
H1437	to	FP	LOH	5160	56.00	61.76	25.59	45.00	73.00	1.00	0.99	42.00	0.00	0.00
H1437	to	FP	non-LOH	8282	77.00	80.45	26.61	66.00	90.00	0.31	0.32	32.00	41.00	0.00
H1437	to	TP	LOH	18988	57.00	63.25	24.85	47.00	75.00	1.00	0.99	44.00	0.00	0.00
H1437	to	TP	non-LOH	26485	77.00	80.12	20.97	66.00	91.00	0.31	0.32	33.00	41.00	0.00
H2009	paired	FP	LOH	66	79.00	78.06	20.27	72.25	90.00	1.00	0.97	6.50	62.50	0.00
H2009	paired	FP	non-LOH	20	83.00	77.45	27.25	52.75	89.25	0.51	0.49	28.50	38.50	1.00
H2009	paired	TP	LOH	37990	76.00	75.52	20.86	65.00	86.00	1.00	0.98	6.00	9.00	0.00
H2009	paired	TP	non-LOH	94918	99.00	108.84	44.11	80.00	123.00	0.23	0.25	42.00	42.00	0.00
H2009	to	FP	LOH	4528	82.00	87.41	32.86	71.00	96.00	1.00	0.99	67.00	0.00	0.00
H2009	to	FP	non-LOH	7461	98.00	107.58	43.30	81.00	122.00	0.22	0.25	42.00	45.00	0.00
H2009	to	TP	LOH	51429	80.00	87.32	36.97	69.00	95.00	1.00	0.99	66.00	0.00	0.00
H2009	to	TP	non-LOH	74277	98.00	107.37	43.09	79.00	122.00	0.24	0.26	42.00	45.00	0.00
HCC1937	paired	FP	LOH	163	92.00	87.09	28.92	67.50	102.50	1.00	1.00	0.00	43.00	0.00
HCC1937	paired	FP	non-LOH	32	103.50	110.28	43.24	80.75	132.25	0.50	0.43	31.00	48.00	3.00
HCC1937	paired	TP	LOH	6883	90.00	94.22	33.75	73.00	112.00	1.00	1.00	1.00	29.00	0.00
HCC1937	paired	TP	non-LOH	5509	125.00	134.33	49.93	97.00	162.00	0.25	0.28	54.00	55.00	0.00
HCC1937	to	FP	LOH	6880	92.00	99.14	45.93	72.00	118.00	1.00	0.99	80.00	0.00	0.00
HCC1937	to	FP	non-LOH	5152	120.00	128.13	48.42	93.00	153.00	0.26	0.29	49.00	59.00	0.00
HCC1937	to	TP	LOH	8181	94.00	100.38	39.46	75.00	121.00	1.00	1.00	84.00	0.00	0.00
HCC1937	to	TP	non-LOH	4442	126.00	135.55	50.61	98.00	165.00	0.27	0.30	51.00	62.00	0.00
HCC1954	paired	FP	LOH	10	82.00	76.60	30.23	55.75	95.25	0.91	0.91	53.50	7.50	1.50
HCC1954	paired	FP	non-LOH	19	72.00	74.00	21.99	60.00	81.50	0.47	0.45	31.00	44.00	2.00
HCC1954	paired	TP	LOH	1939	63.00	76.05	172.08	51.00	81.00	1.00	0.98	5.00	5.00	0.00
HCC1954	paired	TP	non-LOH	15970	65.00	71.37	32.51	54.00	80.00	0.33	0.34	30.00	29.00	0.00
HCC1954	to	FP	LOH	10683	65.00	74.46	65.67	53.00	82.00	1.00	0.98	1.00	23.00	2.00
