root	dir_name	size_human	size_kb	status
/bip8_disk/liaoyoyo2001/InterSubMod_out/output	20251229_full_WED_TP	29GB	30293812	ok
/bip8_disk/liaoyoyo2001/InterSubMod_out/output	20251229_w1000_WED_TP	13GB	12886964	ok
/bip8_disk/liaoyoyo2001/InterSubMod_out/output	20251229_w5000_WED_FP	2.2GB	2290424	ok
/bip8_disk/liaoyoyo2001/InterSubMod_out/output	20251229_w5000_WED_TP	15GB	15555592	ok
/bip8_disk/liaoyoyo2001/InterSubMod_out/output	20260109_all-with-w5000_1	18GB	17879596	ok
/bip8_disk/liaoyoyo2001/InterSubMod_out/output	20260110_all-with-w5000_1	9.2GB	9607036	ok
/bip8_disk/liaoyoyo2001/InterSubMod_out/output	20260110_all-with-w5000_2	9.2GB	9605704	ok
/bip8_disk/liaoyoyo2001/InterSubMod_out/output	20260110_all-with-w5000_3			timeout
/bip8_disk/liaoyoyo2001/InterSubMod_out/output	20260110_all-with-w5000_4	9.2GB	9599932	ok
/bip8_disk/liaoyoyo2001/InterSubMod_out/output	20260110_chr19-verification_1	808KB	808	ok
