sample	feature	AUC	Cohens_d	pvalue	n_TP	n_FP	TP_median	FP_median
HCC1395	caller_af	0.9235	1.3305	0.0000	30490	4842	0.4262	0.1147
HCC1395	loh_inner_flag	0.7067	0.8806	0.0000	30490	4842	0.0000	0.0000
HCC1395	Coverage_Multiple	0.6094	0.3944	0.0000	29530	506	1.0780	1.0080
HCC1395	NG	0.6865	0.7290	0.0000	30490	4842	3.0000	2.0000
HCC1395	HPMergedDelta	0.4896	-0.3135	0.0099	30475	4820	0.0000	0.0000
HCC1395	HPFineF	0.6264	0.1974	0.0000	30475	4820	5.1411	1.1180
HCC1395	NME_imbalance	0.4977	-0.0835	0.3423	12501	1483	0.0000	0.0000
HCC1395	Epipoly_Delta	0.4500	-0.2028	0.0000	12501	1482	0.0704	0.0870
HCC1395	ClusterPermanovaF	0.4363	-0.1902	0.0000	30475	4820	0.0000	0.0000
HCC1937	caller_af	0.2002	-1.4569	0.0000	13910	2697	0.3262	0.9931
HCC1937	loh_inner_flag	0.7172	0.9292	0.0000	13910	2697	0.0000	0.0000
HCC1937	Coverage_Multiple	0.6832	0.5977	0.0000	12393	195	1.0870	0.9450
HCC1937	NG	0.4928	0.0146	0.1886	13910	2697	0.0000	1.0000
HCC1937	HPMergedDelta	0.5814	0.2830	0.0000	13905	2474	0.0000	0.0000
HCC1937	HPFineF	0.5930	0.1613	0.0000	13905	2474	0.0000	0.0000
HCC1937	NME_imbalance	0.5134	-0.1115	0.2845	5377	324	0.0000	0.0000
HCC1937	Epipoly_Delta	0.5433	0.1950	0.0087	5377	324	0.0634	0.0543
HCC1937	ClusterPermanovaF	0.5381	-0.1260	0.0000	13905	2474	0.0000	0.0000
HCC1954	caller_af	0.4163	-0.8950	0.0000	19449	687	0.2500	0.3125
HCC1954	loh_inner_flag	0.5426	0.2883	0.0000	19449	687	0.0000	0.0000
HCC1954	Coverage_Multiple	0.4147	-0.0470	0.1119	17909	29	0.8670	1.0270
HCC1954	NG	0.4825	-0.0574	0.0844	19449	687	2.0000	2.0000
HCC1954	HPMergedDelta	0.4343	-0.4457	0.0000	19445	684	0.0000	0.0000
HCC1954	HPFineF	0.4774	-0.0513	0.0340	19445	684	0.3478	0.3759
HCC1954	NME_imbalance	0.5105	-0.1858	0.3146	9924	331	0.0000	0.0000
HCC1954	Epipoly_Delta	0.5817	0.2528	0.0000	9924	331	0.1072	0.0773
HCC1954	ClusterPermanovaF	0.4621	0.0112	0.0000	19445	684	0.0000	0.0000
H1437	caller_af	0.6964	0.4427	0.0000	70191	773	0.3944	0.2000
H1437	loh_inner_flag	0.5985	0.4943	0.0000	70191	773	0.0000	0.0000
H1437	Coverage_Multiple	0.0099	-3.8009	0.0000	67468	8	0.9930	1.6465
H1437	NG	0.5888	0.3464	0.0000	70191	773	2.0000	2.0000
H1437	HPMergedDelta	0.5342	0.0165	0.0016	70134	713	0.0147	0.0098
H1437	HPFineF	0.6025	0.0436	0.0000	70134	713	6.0660	3.1952
H1437	NME_imbalance	0.5330	0.1173	0.0000	55967	429	0.0000	0.0000
H1437	Epipoly_Delta	0.4007	-0.5599	0.0000	55967	429	0.0566	0.0801
H1437	ClusterPermanovaF	0.4871	-0.0174	0.1701	70134	713	0.0000	0.0000
H2009	caller_af	0.4429	-0.3140	0.0000	135359	1342	0.5059	0.8750
H2009	loh_inner_flag	0.6157	0.5171	0.0000	135359	1342	0.0000	0.0000
H2009	Coverage_Multiple	0.1928	-0.9697	0.0000	132909	86	1.0830	1.5265
H2009	NG	0.6307	0.4783	0.0000	135359	1342	3.0000	2.0000
H2009	HPMergedDelta	0.5826	0.0238	0.0000	135353	1334	0.0045	0.0000
H2009	HPFineF	0.6163	0.0479	0.0000	135353	1334	2.1914	1.1351
H2009	NME_imbalance	0.5112	-0.1111	0.1357	107376	650	0.0000	0.0000
H2009	Epipoly_Delta	0.4033	-0.5878	0.0000	107376	650	0.0436	0.0610
H2009	ClusterPermanovaF	0.5094	-0.1080	0.0462	135353	1334	0.0000	0.0000
