dataset	biological_id	W_primary	dimension	category	count	proportion
COLO829	COLO829	7878	structural	exact_and_topology_unique	1471	0.186722518406
COLO829	COLO829	7878	structural	topology_unique_exact_multiple	2459	0.312135059660
COLO829	COLO829	7878	structural	topology_multiple_exact_multiple	3198	0.405940594059
COLO829	COLO829	7878	structural	incomplete	750	0.095201827875
COLO829	COLO829	7878	read_af_selection	structural_exact_unique	1471	0.186722518406
COLO829	COLO829	7878	read_af_selection	read_af_unique_first	1991	0.252729119066
COLO829	COLO829	7878	read_af_selection	read_af_tied_same_topology	2315	0.293856308708
COLO829	COLO829	7878	read_af_selection	read_af_tied_different_topology	1286	0.163239400863
COLO829	COLO829	7878	read_af_selection	read_af_unavailable	65	0.008250825083
COLO829	COLO829	7878	read_af_selection	incomplete	750	0.095201827875
COLO829	COLO829	7878	morphology	single_no_within_hp_relation	1296	0.164508758568
COLO829	COLO829	7878	morphology	direct_chain	4443	0.563975628332
COLO829	COLO829	7878	morphology	sister_branch	26	0.003300330033
COLO829	COLO829	7878	morphology	direct_and_sister	32	0.004061944656
COLO829	COLO829	7878	morphology	unresolved	2081	0.264153338411
H1437	H1437	9005	structural	exact_and_topology_unique	1803	0.200222098834
H1437	H1437	9005	structural	topology_unique_exact_multiple	2695	0.299278178790
H1437	H1437	9005	structural	topology_multiple_exact_multiple	2738	0.304053303720
H1437	H1437	9005	structural	incomplete	1769	0.196446418656
H1437	H1437	9005	read_af_selection	structural_exact_unique	1803	0.200222098834
H1437	H1437	9005	read_af_selection	read_af_unique_first	3213	0.356801776791
H1437	H1437	9005	read_af_selection	read_af_tied_same_topology	1867	0.207329261521
H1437	H1437	9005	read_af_selection	read_af_tied_different_topology	311	0.034536368684
H1437	H1437	9005	read_af_selection	read_af_unavailable	42	0.004664075514
H1437	H1437	9005	read_af_selection	incomplete	1769	0.196446418656
H1437	H1437	9005	morphology	single_no_within_hp_relation	925	0.102720710716
H1437	H1437	9005	morphology	direct_chain	5621	0.624208772904
H1437	H1437	9005	morphology	sister_branch	118	0.013103831205
H1437	H1437	9005	morphology	direct_and_sister	248	0.027540255414
H1437	H1437	9005	morphology	unresolved	2093	0.232426429761
H2009	H2009	9538	structural	exact_and_topology_unique	1145	0.120046131264
H2009	H2009	9538	structural	topology_unique_exact_multiple	2227	0.233487104215
H2009	H2009	9538	structural	topology_multiple_exact_multiple	2441	0.255923673726
H2009	H2009	9538	structural	incomplete	3725	0.390543090795
H2009	H2009	9538	read_af_selection	structural_exact_unique	1145	0.120046131264
H2009	H2009	9538	read_af_selection	read_af_unique_first	2988	0.313273222898
H2009	H2009	9538	read_af_selection	read_af_tied_same_topology	1378	0.144474732648
H2009	H2009	9538	read_af_selection	read_af_tied_different_topology	154	0.016145942546
H2009	H2009	9538	read_af_selection	read_af_unavailable	148	0.015516879849
H2009	H2009	9538	read_af_selection	incomplete	3725	0.390543090795
H2009	H2009	9538	morphology	single_no_within_hp_relation	431	0.045187670371
H2009	H2009	9538	morphology	direct_chain	4473	0.468966240302
H2009	H2009	9538	morphology	sister_branch	110	0.011532816104
H2009	H2009	9538	morphology	direct_and_sister	575	0.060285175089
H2009	H2009	9538	morphology	unresolved	3949	0.414028098134
HCC1395	HCC1395	7932	structural	exact_and_topology_unique	2019	0.254538577912
HCC1395	HCC1395	7932	structural	topology_unique_exact_multiple	1406	0.177256681795
HCC1395	HCC1395	7932	structural	topology_multiple_exact_multiple	3726	0.469742813918
HCC1395	HCC1395	7932	structural	incomplete	781	0.098461926374
HCC1395	HCC1395	7932	read_af_selection	structural_exact_unique	2019	0.254538577912
HCC1395	HCC1395	7932	read_af_selection	read_af_unique_first	4574	0.576651538074
HCC1395	HCC1395	7932	read_af_selection	read_af_tied_same_topology	366	0.046142208775
HCC1395	HCC1395	7932	read_af_selection	read_af_tied_different_topology	89	0.011220373172
HCC1395	HCC1395	7932	read_af_selection	read_af_unavailable	103	0.012985375693
HCC1395	HCC1395	7932	read_af_selection	incomplete	781	0.098461926374
HCC1395	HCC1395	7932	morphology	single_no_within_hp_relation	896	0.112960161372
HCC1395	HCC1395	7932	morphology	direct_chain	5148	0.649016641452
HCC1395	HCC1395	7932	morphology	sister_branch	364	0.045890065557
HCC1395	HCC1395	7932	morphology	direct_and_sister	605	0.076273323248
HCC1395	HCC1395	7932	morphology	unresolved	919	0.115859808371
HCC1395_DORADO	HCC1395	7665	structural	exact_and_topology_unique	1847	0.240965427267
HCC1395_DORADO	HCC1395	7665	structural	topology_unique_exact_multiple	621	0.081017612524
HCC1395_DORADO	HCC1395	7665	structural	topology_multiple_exact_multiple	4592	0.599086757991
HCC1395_DORADO	HCC1395	7665	structural	incomplete	605	0.078930202218
HCC1395_DORADO	HCC1395	7665	read_af_selection	structural_exact_unique	1847	0.240965427267
HCC1395_DORADO	HCC1395	7665	read_af_selection	read_af_unique_first	3957	0.516242661448
HCC1395_DORADO	HCC1395	7665	read_af_selection	read_af_tied_same_topology	466	0.060795825179
HCC1395_DORADO	HCC1395	7665	read_af_selection	read_af_tied_different_topology	217	0.028310502283
HCC1395_DORADO	HCC1395	7665	read_af_selection	read_af_unavailable	573	0.074755381605
HCC1395_DORADO	HCC1395	7665	read_af_selection	incomplete	605	0.078930202218
HCC1395_DORADO	HCC1395	7665	morphology	single_no_within_hp_relation	1348	0.175864318330
HCC1395_DORADO	HCC1395	7665	morphology	direct_chain	4588	0.598564905414
HCC1395_DORADO	HCC1395	7665	morphology	sister_branch	169	0.022048271363
HCC1395_DORADO	HCC1395	7665	morphology	direct_and_sister	230	0.030006523157
HCC1395_DORADO	HCC1395	7665	morphology	unresolved	1330	0.173515981735
HCC1937	HCC1937	3585	structural	exact_and_topology_unique	1609	0.448814504881
HCC1937	HCC1937	3585	structural	topology_unique_exact_multiple	662	0.184658298466
HCC1937	HCC1937	3585	structural	topology_multiple_exact_multiple	1199	0.334449093445
HCC1937	HCC1937	3585	structural	incomplete	115	0.032078103208
HCC1937	HCC1937	3585	read_af_selection	structural_exact_unique	1609	0.448814504881
HCC1937	HCC1937	3585	read_af_selection	read_af_unique_first	1652	0.460808926081
HCC1937	HCC1937	3585	read_af_selection	read_af_tied_same_topology	156	0.043514644351
HCC1937	HCC1937	3585	read_af_selection	read_af_tied_different_topology	13	0.003626220363
HCC1937	HCC1937	3585	read_af_selection	read_af_unavailable	40	0.011157601116
HCC1937	HCC1937	3585	read_af_selection	incomplete	115	0.032078103208
HCC1937	HCC1937	3585	morphology	single_no_within_hp_relation	468	0.130543933054
HCC1937	HCC1937	3585	morphology	direct_chain	2151	0.600000000000
HCC1937	HCC1937	3585	morphology	sister_branch	500	0.139470013947
HCC1937	HCC1937	3585	morphology	direct_and_sister	325	0.090655509066
HCC1937	HCC1937	3585	morphology	unresolved	141	0.039330543933
HCC1954	HCC1954	4612	structural	exact_and_topology_unique	1688	0.366001734605
HCC1954	HCC1954	4612	structural	topology_unique_exact_multiple	667	0.144622723330
HCC1954	HCC1954	4612	structural	topology_multiple_exact_multiple	2027	0.439505637467
HCC1954	HCC1954	4612	structural	incomplete	230	0.049869904597
HCC1954	HCC1954	4612	read_af_selection	structural_exact_unique	1688	0.366001734605
HCC1954	HCC1954	4612	read_af_selection	read_af_unique_first	2357	0.511058109280
HCC1954	HCC1954	4612	read_af_selection	read_af_tied_same_topology	220	0.047701647875
HCC1954	HCC1954	4612	read_af_selection	read_af_tied_different_topology	82	0.017779705117
HCC1954	HCC1954	4612	read_af_selection	read_af_unavailable	35	0.007588898526
HCC1954	HCC1954	4612	read_af_selection	incomplete	230	0.049869904597
HCC1954	HCC1954	4612	morphology	single_no_within_hp_relation	1005	0.217909800520
HCC1954	HCC1954	4612	morphology	direct_chain	2431	0.527103209020
HCC1954	HCC1954	4612	morphology	sister_branch	428	0.092801387684
HCC1954	HCC1954	4612	morphology	direct_and_sister	413	0.089549002602
HCC1954	HCC1954	4612	morphology	unresolved	335	0.072636600173
