sample	af_bin	tp_n	fp_n	tp_Quality_Score_med	fp_Quality_Score_med	Quality_Score_pval	tp_PairwiseMedianDist_med	fp_PairwiseMedianDist_med	PairwiseMedianDist_pval	tp_CramersV_med	fp_CramersV_med	CramersV_pval	tp_GlobalP_med	fp_GlobalP_med	GlobalP_pval	tp_pass_rate	fp_pass_rate	ratio_before	ratio_after	gate_enrichment	tp_noise_pct	fp_noise_pct	tp_strong_pct	fp_strong_pct
HCC1395_5kHz	<0.2	335	159	75.0	60.0	0.0	0.2141	0.1547	0.0004	0.0	0.0	0.4431	0.313	0.005	0.003	25.7	22.0	2.107	2.457	1.166	39.4	30.8	17.9	18.9
HCC1395_5kHz	0.2-0.4	306	78	75.0	60.0	0.0007	0.2142	0.1663	0.0769	0.0	0.0	0.7836	0.2243	0.0219	0.065	31.4	23.1	3.923	5.333	1.359	34.0	26.9	27.5	19.2
HCC1395_5kHz	0.4-0.6	87	29	75.0	75.0	0.6429	0.1937	0.189	0.6273	0.0	0.0	0.1187	0.2665	0.2325	0.8324	33.3	20.7	3.0	4.833	1.611	13.8	20.7	31.0	17.2
HCC1395_5kHz	0.6-0.9	30	15	60.0	75.0	0.8258	0.2165	0.2012	1.0	0.0	0.0	0.1502	0.0486	0.374	0.0576	53.3	26.7	2.0	4.0	2.0	23.3	66.7	40.0	6.7
HCC1395_5kHz	>=0.9	15	17	60.0	60.0	0.2921	0.1781	0.1719	0.9849	0.0	0.0	1.0	1.0	1.0	0.4484	13.3	29.4	0.882	0.4	0.453	86.7	76.5	6.7	11.8
HCC1395_DORADO	<0.2	2762	436	75.0	75.0	0.0	0.1568	0.1451	0.598	0.0	0.0	0.6904	0.343	0.4758	0.1666	37.1	34.9	6.335	6.75	1.066	40.8	44.0	30.7	27.1
HCC1395_DORADO	0.2-0.4	10122	1729	75.0	75.0	0.0	0.1419	0.1418	0.1807	0.0	0.0	0.208	0.2927	0.304	0.6919	41.1	42.2	5.854	5.704	0.974	27.3	27.2	36.6	39.0
HCC1395_DORADO	0.4-0.6	7914	2974	75.0	75.0	0.0	0.133	0.1368	0.2073	0.0	0.0	0.643	0.401	0.4095	0.5792	41.5	41.9	2.661	2.638	0.991	15.8	15.0	38.6	38.5
HCC1395_DORADO	0.6-0.9	2865	1914	75.0	75.0	0.0	0.1347	0.1225	0.0912	0.0	0.0	0.0002	0.255	0.3095	0.0001	43.9	38.9	1.497	1.69	1.129	27.8	32.0	40.1	34.7
HCC1395_DORADO	>=0.9	5193	4519	75.0	75.0	0.0	0.1098	0.1079	0.1368	0.0	0.0	1.0	1.0	1.0	0.274	13.8	12.9	1.149	1.232	1.072	87.3	88.2	0.7	0.8
COLO829	<0.2	638	629	35.0	35.0	0.3527	0.2701	0.2896	0.0023	0.0	0.0	0.2985	0.6498	0.59	0.0969	16.9	23.8	1.014	0.72	0.71	71.2	66.8	11.4	16.9
COLO829	0.2-0.4	6232	3290	35.0	35.0	0.3609	0.2392	0.2611	0.0	0.0	0.0	0.0359	0.5175	0.5192	0.5221	17.7	18.3	1.894	1.837	0.97	65.4	67.1	12.0	12.8
COLO829	0.4-0.6	12588	6218	35.0	35.0	0.0	0.2437	0.2616	0.0	0.0	0.0	0.4563	0.477	0.488	0.0	19.2	16.3	2.024	2.39	1.18	53.8	56.3	13.4	12.1
COLO829	0.6-0.9	6818	3723	35.0	35.0	0.6115	0.2259	0.2531	0.0	0.0	0.0	0.5414	0.5328	0.6605	0.0	17.9	15.0	1.831	2.188	1.195	68.3	70.7	11.8	10.1
COLO829	>=0.9	6813	3668	50.0	50.0	0.0	0.2087	0.2563	0.0	0.0	0.0	1.0	1.0	1.0	0.1974	0.9	1.0	1.857	1.649	0.888	99.6	99.4	0.0	0.1
H1437	<0.2	3079	363	75.0	75.0	0.0	0.156	0.1584	0.2431	0.0	0.0	0.5704	0.3335	0.3055	0.9901	36.4	37.5	8.482	8.243	0.972	42.4	41.9	25.2	26.7
H1437	0.2-0.4	13530	3180	75.0	75.0	0.0	0.1545	0.1636	0.1156	0.0	0.0	0.0002	0.2318	0.3435	0.0	44.0	34.8	4.255	5.384	1.265	24.0	32.1	37.7	30.1
H1437	0.4-0.6	10405	3250	75.0	75.0	0.0016	0.1565	0.1623	0.3543	0.0	0.0	0.0	0.227	0.4345	0.0	43.9	33.8	3.202	4.154	1.297	10.0	15.5	40.3	30.5
H1437	0.6-0.9	9737	3362	75.0	75.0	0.9273	0.157	0.1598	0.5617	0.0	0.0	0.0011	0.25	0.3433	0.0	43.5	35.5	2.896	3.546	1.224	25.7	35.3	37.7	31.1
H1437	>=0.9	8722	3287	75.0	75.0	0.2908	0.1371	0.1468	0.0021	0.0	0.0	1.0	1.0	1.0	0.0016	1.3	0.9	2.653	4.034	1.52	98.8	99.1	0.4	0.2
H2009	<0.2	3699	240	75.0	75.0	0.0002	0.1932	0.1638	0.0004	0.0	0.0	0.0436	0.7815	1.0	0.0	14.1	8.8	15.412	24.81	1.61	68.6	77.1	9.0	5.0
H2009	0.2-0.4	31777	2238	90.0	80.0	0.0094	0.1905	0.1755	0.0	0.0	0.0	0.0122	0.5215	0.553	0.0	14.7	13.1	14.199	15.956	1.124	60.7	61.2	8.3	7.7
H2009	0.4-0.6	48625	4404	85.0	100.0	0.0	0.178	0.1475	0.0	0.0	0.0	0.0	0.485	0.4955	0.0	14.7	11.7	11.041	13.861	1.255	37.3	37.5	9.7	8.2
H2009	0.6-0.9	18391	2170	80.0	80.0	0.0009	0.2023	0.1717	0.0	0.0	0.0	0.0001	0.5385	0.5577	0.0	15.5	11.9	8.475	11.039	1.302	62.9	62.2	9.5	7.1
H2009	>=0.9	23214	2937	75.0	75.0	0.0	0.1932	0.154	0.0	0.0	0.0	0.6731	1.0	1.0	0.0	4.6	2.9	7.904	12.477	1.579	95.5	97.0	1.4	0.7
HCC1937	<0.2	3271	318	75.0	75.0	0.5791	0.1769	0.139	0.0119	0.0	0.0	0.0297	1.0	1.0	0.0038	19.0	29.6	10.286	6.617	0.643	51.7	35.5	12.5	25.5
HCC1937	0.2-0.4	3880	1685	75.0	80.0	0.0	0.167	0.1346	0.0	0.0	0.0	0.9614	0.5333	0.727	0.0061	19.6	17.2	2.303	2.633	1.144	35.8	36.7	17.1	15.6
HCC1937	0.4-0.6	2787	2825	75.0	90.0	0.0	0.1525	0.1701	0.0341	0.0	0.0	0.8383	0.48	0.4765	0.2327	20.2	20.5	0.987	0.969	0.982	19.3	18.0	19.1	19.2
HCC1937	0.6-0.9	1030	1696	75.0	80.0	0.0	0.1376	0.1328	0.8775	0.0	0.0	0.5671	0.5647	1.0	0.2007	21.4	17.7	0.607	0.733	1.208	35.7	40.2	19.5	16.6
HCC1937	>=0.9	1655	5508	75.0	75.0	0.0	0.1407	0.1313	0.0799	0.0	0.0	1.0	1.0	1.0	0.3984	1.5	1.4	0.3	0.321	1.067	98.1	98.7	0.2	0.2
HCC1954	<0.2	5155	3275	100.0	85.0	0.0	0.1502	0.1372	0.0	0.0	0.0	0.0	0.3905	1.0	0.0	28.1	17.0	1.574	2.593	1.647	45.1	63.1	20.3	11.7
HCC1954	0.2-0.4	8480	12933	85.0	85.0	0.0402	0.1469	0.137	0.0	0.0	0.0	0.0	0.333	0.5215	0.0	30.2	21.8	0.656	0.91	1.387	35.7	45.3	22.6	16.5
HCC1954	0.4-0.6	2504	14811	85.0	90.0	0.0	0.141	0.1365	0.005	0.0	0.0	0.1716	0.4335	0.4665	0.0	28.3	22.4	0.169	0.214	1.264	15.5	19.8	24.5	19.1
HCC1954	0.6-0.9	794	16138	75.0	85.0	0.0	0.1412	0.134	0.0078	0.0	0.0	0.0052	0.3942	0.581	0.0	27.3	19.7	0.049	0.068	1.388	38.8	49.4	20.2	14.1
HCC1954	>=0.9	135	3061	50.0	60.0	0.0	0.1114	0.1117	0.7198	0.0	0.0	0.6749	1.0	1.0	0.5761	2.2	1.5	0.044	0.064	1.447	97.0	98.1	0.7	0.5
