sample	primary_class	paired_resolution_stage	paired_resolution_reason	count
HCC1395	caller_nonpon_filtered	longphase_s	paired_longphase_s_removed	3
HCC1395	caller_nonpon_filtered	persistent	paired_persistent_final_fp	9
HCC1395	caller_nonpon_filtered	raw_absent	paired_raw_absent	2498
HCC1395	caller_nonpon_filtered	raw_filter	normal_alt_support	7
HCC1395	caller_nonpon_filtered	raw_filter	paired_raw_artifact_filtered	79
HCC1395	caller_pon_filtered	longphase_s	paired_longphase_s_removed	747
HCC1395	caller_pon_filtered	persistent	paired_persistent_final_fp	429
HCC1395	caller_pon_filtered	postprocess	paired_postprocess_removed	77
HCC1395	caller_pon_filtered	raw_absent	paired_raw_absent	2713619
HCC1395	caller_pon_filtered	raw_filter	normal_alt_support	61
HCC1395	caller_pon_filtered	raw_filter	paired_raw_artifact_filtered	2406
HCC1395	to_postprocess_removed	postprocess	paired_postprocess_removed	2
HCC1395	to_postprocess_removed	raw_absent	paired_raw_absent	4
HCC1395	to_postprocess_removed	raw_filter	paired_raw_artifact_filtered	2
HCC1395	to_residual_final_fp	longphase_s	paired_longphase_s_removed	18
HCC1395	to_residual_final_fp	persistent	paired_persistent_final_fp	87
HCC1395	to_residual_final_fp	raw_absent	paired_raw_absent	11430
HCC1395	to_residual_final_fp	raw_filter	paired_raw_artifact_filtered	63
