sample	primary_class	primary_detail	count	fraction_of_to_raw_fp
HCC1395	caller_nonpon_filtered	LowQual	136	0.000050
HCC1395	caller_nonpon_filtered	LowQual;LowAltBQ	50	0.000018
HCC1395	caller_nonpon_filtered	LowQual;LowAltBQ;MultiHap	2	0.000001
HCC1395	caller_nonpon_filtered	LowQual;LowAltBQ;StrandBias	4	0.000001
HCC1395	caller_nonpon_filtered	LowQual;LowAltBQ;VariantCluster	11	0.000004
HCC1395	caller_nonpon_filtered	LowQual;LowAltBQ;VariantCluster;MultiHap	1	0.000000
HCC1395	caller_nonpon_filtered	LowQual;LowAltBQ;VariantCluster;StrandBias	5	0.000002
HCC1395	caller_nonpon_filtered	LowQual;MultiHap	21	0.000008
HCC1395	caller_nonpon_filtered	LowQual;NoAncestry	29	0.000011
HCC1395	caller_nonpon_filtered	LowQual;ReadStartEnd	15	0.000005
HCC1395	caller_nonpon_filtered	LowQual;ReadStartEnd;VariantCluster	59	0.000022
HCC1395	caller_nonpon_filtered	LowQual;ReadStartEnd;VariantCluster;StrandBias	3	0.000001
HCC1395	caller_nonpon_filtered	LowQual;StrandBias	137	0.000050
HCC1395	caller_nonpon_filtered	LowQual;VariantCluster	2082	0.000762
HCC1395	caller_nonpon_filtered	LowQual;VariantCluster;MultiHap	18	0.000007
HCC1395	caller_nonpon_filtered	LowQual;VariantCluster;NoAncestry	6	0.000002
HCC1395	caller_nonpon_filtered	LowQual;VariantCluster;StrandBias	17	0.000006
HCC1395	caller_pon_filtered	LowQual;NonSomatic	23392	0.008564
HCC1395	caller_pon_filtered	NonSomatic	2693947	0.986237
HCC1395	to_postprocess_removed	purity_ge60_ad_vaf_core_v1	8	0.000003
HCC1395	to_residual_final_fp	kept_after_to_final_rule	11598	0.004246
