sample	phase	rule_rank	rule_id	rule_label	tp_removed	fp_removed	tp_total_before	fp_total_before	tp_after	fp_after	precision_after	recall_after	f1_after	delta_f1_vs_final
HCC1395	discovery	1	af_le_0.03_ad_ge_0.15	AF<=0.03 and AlleleDelta>=0.15	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	2	af_le_0.03_ad_ge_0.20	AF<=0.03 and AlleleDelta>=0.20	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	3	af_le_0.03_ad_ge_0.25	AF<=0.03 and AlleleDelta>=0.25	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	4	af_le_0.03_ad_ge_0.30	AF<=0.03 and AlleleDelta>=0.30	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	5	af_le_0.05_ad_ge_0.15	AF<=0.05 and AlleleDelta>=0.15	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	6	af_le_0.05_ad_ge_0.20	AF<=0.05 and AlleleDelta>=0.20	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	7	af_le_0.05_ad_ge_0.25	AF<=0.05 and AlleleDelta>=0.25	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	8	af_le_0.05_ad_ge_0.30	AF<=0.05 and AlleleDelta>=0.30	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	9	af_le_0.08_ad_ge_0.15	AF<=0.08 and AlleleDelta>=0.15	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	10	af_le_0.08_ad_ge_0.20	AF<=0.08 and AlleleDelta>=0.20	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	11	af_le_0.08_ad_ge_0.25	AF<=0.08 and AlleleDelta>=0.25	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
