mode	sample	n_all_cn	rho_af_mean	p_af_mean
TO	HCC1395	749	-0.8012292999764056	8.926609439097052e-169
TO	HCC1395_DORADO	793	-0.8502095082113847	1.2967842396088482e-222
TO	COLO829	105	-0.8939349692249287	1.1050906330851007e-37
TO	H1437	208	-0.9497023926139057	7.812269368634406e-106
TO	H2009	670	-0.4908222741079043	6.53229978361376e-42
TO	HCC1937	1114	-0.6375273446870702	4.1648770691201547e-128
TO	HCC1954	111	-0.3695276656120856	6.56922577799104e-05
Paired	HCC1395	755	-0.8531234964895751	5.697897943772108e-215
Paired	HCC1395_DORADO	798	-0.607766367474789	9.424504091916793e-82
Paired	COLO829	106	-0.5961375113485433	1.5620257586911344e-11
Paired	H1437	208	-0.8607489250619145	2.5001611947199524e-62
Paired	H2009	673	-0.7301182612175343	4.545660913242603e-113
Paired	HCC1937	1081	-0.7900228837251714	1.6459976459264062e-231
Paired	HCC1954	111	-0.4062740539838206	9.676288641948601e-06
