mode	sample	n_cn1_segments	rho	ci_low	ci_high	p_value	ci_contains_zero
TO	HCC1395	435	0.1506834721085262	0.0442815376459936	0.24947990185636118	0.0016230967000050412	False
TO	HCC1395_DORADO	349	0.2552834313772835	0.13480849935046554	0.38191142817901214	1.349793562181387e-06	False
TO	COLO829	105	0.7630801593757658	0.628127417639117	0.8679190123250804	3.0476343610083516e-21	False
TO	H1437	168	0.8092228281205193	0.7337328367833518	0.8707506855865476	3.446230122120289e-40	False
TO	H2009	25	0.21211601875458955	-0.28072310068208145	0.6767647873730299	0.30871338354039085	True
TO	HCC1937	110	0.22964558020036968	0.013909679233118649	0.43927221496905283	0.01580549255589035	False
TO	HCC1954	34	-0.2972393189350302	-0.6041732226404533	0.04448262703089733	0.08778728338151068	True
Paired	HCC1395	438	0.20886571887545158	0.09893295748788074	0.31929418764609135	1.0459545744390806e-05	False
Paired	HCC1395_DORADO	350	0.23129808044142888	0.1224980113618893	0.34011064290094256	1.2360675016965177e-05	False
Paired	COLO829	106	0.5025658171955587	0.3039225965409968	0.6745954626701944	4.030803277329073e-08	False
Paired	H1437	167	0.7444143333030051	0.6400333075457677	0.8319102805911733	9.473576921757364e-31	False
Paired	H2009	25	0.666104723756839	0.3104442326551109	0.876158707153153	0.0002781033488440093	False
Paired	HCC1937	106	0.43746719995820055	0.23745510448124718	0.6072562762585073	2.7437011866336827e-06	False
Paired	HCC1954	30	-0.21120297560905757	-0.6211844438105799	0.21865922172952373	0.26256559275517966	True
