mode	excluded	n_samples	meta_rho	min_sample_rho	max_sample_rho
TO	NONE	7	0.3671856485590206	-0.2972393189350302	0.8092228281205193
TO	HCC1395	6	0.4742686730946478	-0.2972393189350302	0.8092228281205193
TO	HCC1395_DORADO	6	0.409622011649687	-0.2972393189350302	0.8092228281205193
TO	COLO829	6	0.31670579857220066	-0.2972393189350302	0.8092228281205193
TO	H1437	6	0.2615996251144665	-0.2972393189350302	0.7630801593757658
TO	H2009	6	0.36991415051883203	-0.2972393189350302	0.8092228281205193
TO	HCC1937	6	0.37987658102916383	-0.2972393189350302	0.8092228281205193
TO	HCC1954	6	0.3828797413952412	0.1506834721085262	0.8092228281205193
Paired	NONE	7	0.3570567463865737	-0.21120297560905757	0.7444143333030051
Paired	HCC1395	6	0.4343414851389395	-0.21120297560905757	0.7444143333030051
Paired	HCC1395_DORADO	6	0.404953514697923	-0.21120297560905757	0.7444143333030051
Paired	COLO829	6	0.3423004646102877	-0.21120297560905757	0.7444143333030051
Paired	H1437	6	0.2735592997452909	-0.21120297560905757	0.666104723756839
Paired	H2009	6	0.350032709221191	-0.21120297560905757	0.7444143333030051
Paired	HCC1937	6	0.34920837256010095	-0.21120297560905757	0.7444143333030051
Paired	HCC1954	6	0.3687970757222071	0.20886571887545158	0.7444143333030051
