mode	LOH	nr_bin	HPFineNGroups	n	tp	fp	tp_rate
to	False	0-20	1	1011	656	355	0.6488625123639961
to	False	0-20	2	1609	1013	596	0.6295835922933499
to	False	0-20	3	279	186	93	0.6666666666666666
to	False	0-20	4	2	1	1	0.5
to	False	20-40	1	4436	3042	1394	0.6857529305680794
to	False	20-40	2	19993	12216	7777	0.6110138548491972
to	False	20-40	3	8737	5774	2963	0.6608675746823852
to	False	20-40	4	239	171	68	0.7154811715481172
to	False	40-60	1	2984	1845	1139	0.6182975871313673
to	False	40-60	2	24128	10458	13670	0.43343832891246686
to	False	40-60	3	15322	8868	6454	0.578775616760214
to	False	40-60	4	1712	1181	531	0.6898364485981309
to	False	60-80	1	3011	1999	1012	0.663899036864829
to	False	60-80	2	36914	19989	16925	0.541501869209514
to	False	60-80	3	32345	22419	9926	0.6931210388004329
to	False	60-80	4	6811	5647	1164	0.8290999853178681
to	False	80-100	1	1913	1419	494	0.7417668583376895
to	False	80-100	2	25579	16069	9510	0.6282106415418899
to	False	80-100	3	27472	20715	6757	0.7540404775771695
to	False	80-100	4	8057	7072	985	0.877746059327293
to	False	100-150	1	1406	1127	279	0.8015647226173542
to	False	100-150	2	20753	13972	6781	0.6732520599431407
to	False	100-150	3	29158	23406	5752	0.8027299540434872
to	False	100-150	4	12896	11648	1248	0.9032258064516129
to	False	150-500	1	336	244	92	0.7261904761904762
to	False	150-500	2	5215	3130	2085	0.6001917545541706
to	False	150-500	3	8003	5923	2080	0.7400974634512058
to	False	150-500	4	4788	4222	566	0.8817878028404345
to	True	0-20	1	4305	2864	1441	0.6652729384436702
to	True	0-20	2	214	127	87	0.5934579439252337
to	True	0-20	3	0	0	0	
to	True	0-20	4	0	0	0	
to	True	20-40	1	13125	8172	4953	0.6226285714285714
to	True	20-40	2	3838	3316	522	0.8639916623241272
to	True	20-40	3	10	8	2	0.8
to	True	20-40	4	0	0	0	
to	True	40-60	1	20200	13104	7096	0.6487128712871287
to	True	40-60	2	11931	10768	1163	0.9025228396613864
to	True	40-60	3	60	51	9	0.85
to	True	40-60	4	1	1	0	1.0
to	True	60-80	1	10451	6821	3630	0.652664816763946
to	True	60-80	2	18641	17068	1573	0.9156161150152888
to	True	60-80	3	67	58	9	0.8656716417910447
to	True	60-80	4	2	2	0	1.0
to	True	80-100	1	5607	3477	2130	0.6201177100053504
to	True	80-100	2	13376	12081	1295	0.9031848086124402
to	True	80-100	3	56	49	7	0.875
to	True	80-100	4	2	2	0	1.0
to	True	100-150	1	2705	1124	1581	0.4155268022181146
to	True	100-150	2	5981	5126	855	0.8570473165022572
to	True	100-150	3	41	38	3	0.926829268292683
to	True	100-150	4	1	0	1	0.0
to	True	150-500	1	316	93	223	0.29430379746835444
to	True	150-500	2	1002	778	224	0.7764471057884231
to	True	150-500	3	23	14	9	0.6086956521739131
to	True	150-500	4	5	4	1	0.8
paired	False	0-20	1	2984	2807	177	0.9406836461126006
paired	False	0-20	2	1568	1458	110	0.9298469387755102
paired	False	0-20	3	263	249	14	0.9467680608365019
paired	False	0-20	4	1	1	0	1.0
paired	False	20-40	1	10314	10025	289	0.9719798332363777
paired	False	20-40	2	17940	17059	881	0.9508918617614269
paired	False	20-40	3	6920	6552	368	0.9468208092485549
paired	False	20-40	4	215	197	18	0.9162790697674419
paired	False	40-60	1	16855	16761	94	0.9944230198754079
paired	False	40-60	2	19850	19587	263	0.9867506297229219
paired	False	40-60	3	9880	9714	166	0.9831983805668016
paired	False	40-60	4	982	963	19	0.9806517311608961
paired	False	60-80	1	14853	14781	72	0.9951524944455665
paired	False	60-80	2	30895	30750	145	0.9953066839294384
paired	False	60-80	3	27319	27121	198	0.9927522969361983
paired	False	60-80	4	2466	2459	7	0.9971613949716139
paired	False	80-100	1	8757	8678	79	0.9909786456549047
paired	False	80-100	2	23603	23528	75	0.9968224378257001
paired	False	80-100	3	26753	26631	122	0.9954397637648115
paired	False	80-100	4	3075	3068	7	0.9977235772357723
paired	False	100-150	1	2684	2629	55	0.9795081967213115
paired	False	100-150	2	18316	18272	44	0.9975977287617384
paired	False	100-150	3	30386	30335	51	0.9983215954715987
paired	False	100-150	4	6241	6231	10	0.9983976926774555
paired	False	150-500	1	203	198	5	0.9753694581280788
paired	False	150-500	2	3319	3312	7	0.9978909310033143
paired	False	150-500	3	8512	8510	2	0.9997650375939849
paired	False	150-500	4	2484	2483	1	0.999597423510467
paired	True	0-20	1	0	0	0	
paired	True	0-20	2	0	0	0	
paired	True	0-20	3	0	0	0	
paired	True	0-20	4	0	0	0	
paired	True	20-40	1	0	0	0	
paired	True	20-40	2	0	0	0	
paired	True	20-40	3	0	0	0	
paired	True	20-40	4	0	0	0	
paired	True	40-60	1	0	0	0	
paired	True	40-60	2	0	0	0	
paired	True	40-60	3	0	0	0	
paired	True	40-60	4	0	0	0	
paired	True	60-80	1	0	0	0	
paired	True	60-80	2	0	0	0	
paired	True	60-80	3	0	0	0	
paired	True	60-80	4	0	0	0	
paired	True	80-100	1	0	0	0	
paired	True	80-100	2	0	0	0	
paired	True	80-100	3	0	0	0	
paired	True	80-100	4	0	0	0	
paired	True	100-150	1	0	0	0	
paired	True	100-150	2	0	0	0	
paired	True	100-150	3	0	0	0	
paired	True	100-150	4	0	0	0	
paired	True	150-500	1	0	0	0	
paired	True	150-500	2	0	0	0	
paired	True	150-500	3	0	0	0	
paired	True	150-500	4	0	0	0	
