sample	mode	LOH	n3	rate3	n4	rate4	delta_pp	fisher_p	direction
COLO829	to	False	71	0.49295774647887325	34	0.23529411764705882	-25.766362883181444	0.9973064516266709	NEG
H1437	to	False	9872	0.7708670988654781	1409	0.9212207239176721	15.035362505219396	5.894249401672499e-46	POS
H2009	to	False	33682	0.9043405973517012	19978	0.9345780358394233	3.023743848772209	1.9157884123436814e-35	POS
HCC1395_DORADO	to	False	4382	0.7989502510269283	637	0.902668759811617	10.37185087846887	1.7027412911362464e-11	POS
HCC1395	to	False	4778	0.7362913352867309	1173	0.8098891730605285	7.35978377737977	5.840674416621741e-08	POS
HCC1937	to	False	4443	0.5721359441818591	890	0.7134831460674157	14.134720188555661	1.0122645390831375e-15	POS
HCC1954	to	False	7405	0.3211343686698177	1620	0.49691358024691357	17.577921157709586	7.564516995300385e-40	POS
COLO829	to	True	0		0				INSUFFICIENT
H1437	to	True	0		1				INSUFFICIENT
H2009	to	True	20		4				INSUFFICIENT
HCC1395_DORADO	to	True	12		2				INSUFFICIENT
HCC1395	to	True	58		0				INSUFFICIENT
HCC1937	to	True	28		1				INSUFFICIENT
HCC1954	to	True	2		0				INSUFFICIENT
COLO829	paired	False	34	0.9117647058823529	15	0.9333333333333333	2.1568627450980427	0.6425267609356415	POS
H1437	paired	False	8581	1.0	1315	1.0	0.0	1.0	FLAT
H2009	paired	False	43493	0.9998620467661463	7582	0.999868108678449	0.0006061912302679495	0.7209217060115953	POS
HCC1395_DORADO	paired	False	3658	0.9934390377255331	546	0.9926739926739927	-0.07650450515404028	0.7051428645404683	NEG
HCC1395	paired	False	4219	0.9680018961839298	1129	0.9893711248892826	2.136922870535274	1.5582812143544802e-05	POS
HCC1937	paired	False	2770	0.9985559566787003	593	1.0	0.14440433212996595	0.4600929763079673	POS
HCC1954	paired	False	2896	0.99896408839779	620	1.0	0.1035911602209949	0.5586884581729702	POS
COLO829	paired	True	0		0				INSUFFICIENT
H1437	paired	True	0		0				INSUFFICIENT
H2009	paired	True	0		0				INSUFFICIENT
HCC1395_DORADO	paired	True	0		0				INSUFFICIENT
HCC1395	paired	True	0		0				INSUFFICIENT
HCC1937	paired	True	0		0				INSUFFICIENT
HCC1954	paired	True	0		0				INSUFFICIENT
