sample	cn_tier	n_extreme	n_inter	ng_extreme	ng_inter	delta_ng	mw_p	r	n_total
HCC1395	CN1_deletion	5990.0	1819.0	1.4662771285475793	1.788345244639912	0.32206811609233266	6.161021386132673e-121	0.31397720775233773	7809
HCC1395	CN2_near	1758.0	2174.0	1.5671217292377702	1.9250229990800367	0.35790126984226656	4.2130949413784374e-133	0.34553305012281865	3932
HCC1395	CN3_cnLOH_high	204.0	754.0	1.838235294117647	1.960212201591512	0.12197690747386503	1.4031367722294666e-07	0.12262703489884008	958
HCC1395	CN4plus	32.0	260.0	1.8125	1.9923076923076923	0.17980769230769234	0.005533011376407874	0.17163461538461533	292
HCC1395_DORADO	CN1_deletion	5893.0	1472.0	1.3375190904462921	1.8423913043478262	0.504872213901534	1.1486909327279539e-266	0.5044756490751738	7365
HCC1395_DORADO	CN2_near	2080.0	2387.0	1.3923076923076922	1.8940092165898617	0.5017015242821694	1.5651824512123148e-268	0.4995711949340982	4467
HCC1395_DORADO	CN3_cnLOH_high	293.0	735.0	1.658703071672355	1.9020408163265305	0.24333774465417557	6.866320493515678e-20	0.24101599684242303	1028
HCC1395_DORADO	CN4plus	31.0	328.0	1.5806451612903225	1.9176829268292683	0.3370377655389458	4.0075230000015873e-07	0.3306451612903225	359
COLO829	CN1_deletion	6515.0	494.0	1.0564850345356869	1.5809716599190284	0.5244866253833416	0.0	0.5245509428568764	7009
COLO829	CN2_near								16
COLO829	CN3_cnLOH_high								0
COLO829	CN4plus								0
H1437	CN1_deletion	7393.0	1048.0	1.1138915190044636	1.8225190839694656	0.708627564965002	0.0	0.7077820416052734	8441
H1437	CN2_near	2189.0	1224.0	1.167199634536318	1.9093137254901962	0.7421140909538781	0.0	0.7399363125789375	3413
H1437	CN3_cnLOH_high	113.0	307.0	1.1946902654867257	1.8697068403908794	0.6750165749041537	6.215039256137477e-40	0.6750165749041539	420
H1437	CN4plus	42.0	94.0	1.2619047619047619	1.925531914893617	0.6636271529888551	4.9959497283765515e-14	0.6451367781155015	136
H2009	CN1_deletion	2765.0	497.0	1.5081374321880652	1.7806841046277666	0.27254667243970143	1.8814505208055444e-28	0.2685858369020633	3262
H2009	CN2_near	22595.0	2168.0	1.7356494799734454	1.9363468634686347	0.20069738349518929	1.8710028173433263e-93	0.1992096919198889	24763
H2009	CN3_cnLOH_high	2739.0	411.0	1.73311427528295	1.9659367396593674	0.2328224643764174	8.332358924998595e-25	0.23181422882416647	3150
H2009	CN4plus	128.0	72.0	1.6796875	2.0416666666666665	0.3619791666666665	2.0651880841055764e-06	0.30251736111111116	200
HCC1937	CN1_deletion	467.0	294.0	1.2505353319057815	1.8231292517006803	0.5725939197948988	1.4950571195534921e-53	0.5734460807877755	761
HCC1937	CN2_near	1423.0	1519.0	1.5966268446943077	1.9256089532587228	0.3289821085644151	5.386743593942945e-100	0.3308622521844409	2942
HCC1937	CN3_cnLOH_high	991.0	1197.0	1.6770938446014128	1.940685045948204	0.26359120134679115	1.66880979172776e-57	0.26315620871890455	2188
HCC1937	CN4plus	308.0	706.0	1.7077922077922079	1.9915014164305949	0.283709208638387	3.931101422817898e-37	0.2801773297524006	1014
HCC1954	CN1_deletion	226.0	342.0	1.584070796460177	1.871345029239766	0.28727423277958897	6.365879272726274e-15	0.2877658748641516	568
HCC1954	CN2_near	112.0	470.0	1.7767857142857142	1.897872340425532	0.1210866261398178	0.0004458154689241501	0.12462006079027366	582
HCC1954	CN3_cnLOH_high	35.0	201.0	1.8	1.935323383084577	0.13532338308457703	0.00818161927942239	0.13532338308457703	236
