RegionID	NumReads	NumCpGs	GlobalP	CramersV	PassedGating	ClusterPermanovaValid	Significant	VerificationClass
0	113	126	1	0	False	False	True	MultiGroupNoLabel
1	100	511	1	0	False	False	True	MultiGroupNoLabel
2	85	513	0.4455	0	False	False	True	LabelShift
3	82	437	0	0	True	True	True	Strong
4	136	311	1	0	False	False	False	Noise_Uniform
5	105	371	0.503	0	False	False	True	MultiGroupNoLabel
6	102	525	0.1695	0	False	False	True	LabelShift
7	113	444	0.405	0	False	False	True	StructureNoLabel
8	101	412	0.246	0	False	False	True	MultiGroupNoLabel
9	111	300	0.001	0.3785	True	True	True	Strong
10	86	337	1	0	False	False	True	LabelShift
11	94	398	0	0.4827	True	True	True	Strong
12	108	311	1	0	False	False	True	StructureNoLabel
13	89	338	0	0.6691	True	True	True	Strong
14	95	323	0	0	True	True	True	Strong
15	92	246	0	0.9373	True	True	True	Strong
16	100	432	0.0045	0	True	True	True	Strong
17	93	243	0.001	0	True	True	True	Strong
18	129	290	0	0.7634	True	True	True	Strong
19	102	234	0	0.6148	True	True	True	Strong
20	98	98	1	0	False	False	True	PermanovaLocation
21	91	312	0	0.9333	True	True	True	Strong
22	116	302	0.0045	0	True	True	True	LabelShift
23	94	317	0.0055	0	True	True	True	Strong
24	83	235	0.2645	0	False	False	False	DispersionStructure
25	104	314	0.0185	0	True	True	True	Strong
26	106	40	0.3005	0	False	False	False	DispersionStructure
27	112	169	1	0	False	False	False	DispersionStructure
28	117	246	0.0095	0	True	True	True	Strong
29	106	51	0.504	0	False	False	True	PermanovaLocation
30	96	86	1	0	False	False	True	StructureNoLabel
31	84	142	0.375	0	False	False	False	DispersionStructure
32	75	150	1	0	False	False	False	DispersionStructure
33	101	71	0.6045	0	False	False	True	MultiGroupNoLabel
34	97	93	0.1695	0	False	False	True	MultiGroupNoLabel
35	104	69	1	0	False	False	True	PermanovaLocation
36	76	160	0.5695	0	False	False	False	DispersionStructure
37	106	38	0.2325	0	False	False	False	DispersionStructure
38	99	71	1	0	False	False	True	PermanovaLocation
