RegionID	NumReads	NumCpGs	GlobalP	CramersV	PassedGating	ClusterPermanovaValid	Significant	VerificationClass
0	113	126	0	0	True	True	False	Strong
1	100	511	0	0	True	True	False	Strong
2	85	513	0.2175	0	False	False	False	Weak
3	82	437	0	0	True	True	False	Strong
4	136	311	1	0	False	False	False	Noise
5	105	371	0.663	0	False	False	False	Weak
6	102	525	1	0	False	False	False	Weak
7	113	444	0	0	True	True	False	Strong
8	101	412	0.488	0	False	False	False	Weak
9	111	300	0	0.9667	True	True	True	Strong
10	86	337	0	1	True	True	True	Strong
11	94	398	0	0	True	True	False	Strong
12	108	311	0	0	True	True	False	Strong
13	89	338	0	1	True	True	True	Strong
14	95	323	0	1	True	True	True	Strong
15	92	246	0	0.8962	True	True	True	Strong
16	100	432	0	0	True	True	False	Strong
17	93	243	0	0	True	True	False	Strong
18	129	290	0	0.9256	True	True	True	Strong
19	102	234	0	0	True	True	False	Strong
20	98	98	0	0	True	True	False	Strong
21	91	312	0	0.9309	True	True	True	Strong
22	116	302	0	0.901	True	True	True	Strong
23	94	317	0	0.965	True	True	True	Strong
24	83	235	0	0.512	True	True	True	Strong
25	104	314	0.2305	0	False	False	False	Weak
26	106	40	0	0.9693	True	True	True	Strong
27	112	169	0	0	True	True	False	Strong
28	117	246	0	1	True	True	True	Strong
29	106	51	0	0.8126	True	True	True	Strong
30	96	86	0	0.9199	True	True	True	Strong
31	84	142	0	0	True	True	False	Strong
32	75	150	0	0	True	True	False	Strong
33	101	71	0	0	True	True	False	Strong
34	97	93	0	0.8264	True	True	True	Strong
35	104	69	0.0005	0	True	True	False	Strong
36	76	160	0	0	True	True	False	Strong
37	106	38	0	0	True	True	False	Strong
38	99	71	0	0	True	True	False	Strong
39	109	84	0	0	True	True	False	Strong
40	106	175	0	0.9648	True	True	True	Strong
41	115	149	0	0.9555	True	True	True	Strong
42	130	181	0	0	True	True	False	Strong
43	131	182	0	0	True	True	False	Strong
44	93	150	0.375	0	False	False	False	Weak
45	99	158	0.238	0	False	False	False	Weak
46	108	376	0	0.9668	True	True	True	Strong
47	133	351	0.117	0	False	False	False	Weak
48	97	280	1	0	False	False	False	Weak
49	103	216	0	0.9633	True	True	True	Strong
50	123	184	0	0	True	True	False	Strong
51	100	182	0	1	True	True	True	Strong
52	112	137	0	0.9727	True	True	True	Strong
53	111	137	0	1	True	True	True	Strong
54	114	154	0	1	True	True	True	Strong
55	113	171	0	1	True	True	True	Strong
56	99	214	1	0	False	False	False	Weak
57	109	118	1	0	False	False	False	Weak
58	111	74	1	0	False	False	False	Weak
59	121	120	0	0	True	True	False	Strong
60	116	90	1	0	False	False	False	Noise
61	106	188	0	0	True	True	False	Strong
62	100	141	0	0	True	True	False	Strong
63	95	127	0	0	True	True	False	Strong
64	99	131	0	0	True	True	False	Strong
65	104	131	0.2265	0	False	False	False	Weak
