chr	hcc1954_n	hcc1954_tp	hcc1954_fp	hcc1954_tp_rate	cohort_n	cohort_tp	cohort_tp_rate
chr1	824	59	765	0.07160194174757281	1420	979	0.6894366197183098
chr2	699	61	638	0.08726752503576538	2969	2090	0.7039407207814079
chr3	567	61	506	0.10758377425044091	964	610	0.6327800829875518
chr4	574	70	504	0.12195121951219512	949	561	0.5911485774499473
chr5	100	2	98	0.02	2096	1570	0.7490458015267175
chr6	483	44	439	0.09109730848861283	1361	973	0.7149155033063923
chr7	536	44	492	0.08208955223880597	2448	1627	0.6646241830065359
chr8	224	14	210	0.0625	949	625	0.6585879873551106
chr9	351	28	323	0.07977207977207977	1415	952	0.672791519434629
chr10	377	49	328	0.129973474801061	1704	1253	0.7353286384976526
chr11	461	56	405	0.12147505422993492	660	458	0.693939393939394
chr12	302	30	272	0.09933774834437085	1242	899	0.7238325281803543
chr13	307	45	262	0.1465798045602606	282	202	0.7163120567375887
chr14	258	26	232	0.10077519379844961	747	473	0.6331994645247657
chr15	257	37	220	0.14396887159533073	711	421	0.5921237693389592
chr16	276	21	255	0.07608695652173914	873	594	0.6804123711340206
chr17	123	6	117	0.04878048780487805	462	293	0.6341991341991342
chr18	197	33	164	0.16751269035532995	612	367	0.5996732026143791
chr19	133	16	117	0.12030075187969924	439	282	0.642369020501139
chr20	170	18	152	0.10588235294117647	1042	640	0.6142034548944337
chr21	106	17	89	0.16037735849056603	414	283	0.6835748792270532
chr22	75	10	65	0.13333333333333333	419	250	0.5966587112171837
chrX	0	0	0		0	0	
chrY	0	0	0		0	0	
