version	case	chrom	pos	HP_0	HP_1	HP_2	HP_11	HP_21	HP_33	HP1_family	HP2_family	ratio_HP1:HP2	AMB_pct	total_reads
A1_baseline	A_TP01	chr6	145444893	0	65	0	32	0	0	97	0	inf	0.00	97
A1_baseline	A_TP02	chr4	70548355	0	51	0	31	0	0	82	0	inf	0.00	82
A1_baseline	A_TP03	chr5	153209947	14	41	2	36	0	0	77	2	38.50	0.00	93
A1_baseline	A_TP04	chr16	35118902	5	34	13	60	21	0	94	34	2.76	0.00	133
A1_baseline	A_TP05	chr7	109185781	1	117	37	4	0	0	121	37	3.27	0.00	159
A1_baseline	B_FPA1	chr8	93565727	1	3	111	0	0	0	3	111	0.03	0.00	115
A1_baseline	B_FPA2	chr9	137953060	7	78	2	0	2	0	78	4	19.50	0.00	89
A1_baseline	B_FPB1	chr7	52087777	2	24	56	2	19	0	26	75	0.35	0.00	103
A1_baseline	B_FPB2	chr9	75383880	10	43	40	0	15	0	43	55	0.78	0.00	108
A1_baseline	C_V5max1	chr19	4639528	8	8	0	51	0	0	59	0	inf	0.00	67
A1_baseline	C_V5max2	chr19	2235521	3	5	0	71	0	0	76	0	inf	0.00	79
A1_baseline	C_V5max3	chr19	7405500	1	2	5	0	76	0	2	81	0.02	0.00	84
A1_baseline	D_SP1	chr19	17565944	0	36	1	77	0	0	113	1	113.00	0.00	114
A1_baseline	D_SP2	chr19	12452332	8	33	1	80	0	0	113	1	113.00	0.00	122
A1_baseline	D_SP3	chr19	12467180	4	32	0	77	0	0	109	0	inf	0.00	113
A2_v2b	A_TP01	chr6	145444893	0	65	0	32	0	0	97	0	inf	0.00	97
A2_v2b	A_TP02	chr4	70548355	2	0	49	0	31	0	0	80	0.00	0.00	82
A2_v2b	A_TP03	chr5	153209947	14	41	2	36	0	0	77	2	38.50	0.00	93
A2_v2b	A_TP04	chr16	35118902	3	9	40	0	79	2	9	119	0.08	1.54	133
A2_v2b	A_TP05	chr7	109185781	44	84	27	0	4	0	84	31	2.71	0.00	159
A2_v2b	B_FPA1	chr8	93565727	53	31	31	0	0	0	31	31	1.00	0.00	115
