version	case	chrom	pos	HP_0	HP_1	HP_2	HP_11	HP_21	HP_33	HP1_family	HP2_family	ratio_HP1:HP2	AMB_pct	total_reads
B1_baseline_06	A_TP01	chr6	145444893	10	24	1	4	0	0	28	1	28.00	0.00	39
B1_baseline_06	A_TP02	chr4	70548355	0	1	43	0	15	0	1	58	0.02	0.00	59
B1_baseline_06	A_TP03	chr5	153209947	1	35	12	10	0	0	45	12	3.75	0.00	58
B1_baseline_06	A_TP04	chr16	35118902	5	11	2	18	8	0	29	10	2.90	0.00	44
B1_baseline_06	A_TP05	chr7	109185781	10	10	46	7	2	0	17	48	0.35	0.00	75
B1_baseline_06	B_FPA1	chr8	93565727	12	0	47	0	6	0	0	53	0.00	0.00	65
B1_baseline_06	B_FPA2	chr9	137953060	26	4	19	0	0	0	4	19	0.21	0.00	49
B1_baseline_06	B_FPB1	chr7	52087777	2	29	25	0	0	0	29	25	1.16	0.00	56
B1_baseline_06	B_FPB2	chr9	75383880	9	17	17	9	0	0	26	17	1.53	0.00	52
B1_baseline_06	C_V5max1	chr19	4639528	1	9	15	0	26	0	9	41	0.22	0.00	51
B1_baseline_06	C_V5max2	chr19	2235521	6	6	2	18	0	0	24	2	12.00	0.00	32
B1_baseline_06	C_V5max3	chr19	7405500	3	13	14	0	20	0	13	34	0.38	0.00	50
B1_baseline_06	D_SP1	chr19	17565944	2	1	30	0	40	0	1	70	0.01	0.00	73
B1_baseline_06	D_SP2	chr19	12452332	12	1	13	0	28	0	1	41	0.02	0.00	54
B1_baseline_06	D_SP3	chr19	12467180	21	0	14	0	28	0	0	42	0.00	0.00	63
B3_v3f_no_pononly_06	A_TP01	chr6	145444893	10	24	1	3	1	0	27	2	13.50	0.00	39
B3_v3f_no_pononly_06	A_TP02	chr4	70548355	0	1	43	0	15	0	1	58	0.02	0.00	59
B3_v3f_no_pononly_06	A_TP03	chr5	153209947	0	36	12	10	0	0	46	12	3.83	0.00	58
B3_v3f_no_pononly_06	A_TP04	chr16	35118902	3	11	3	18	5	4	29	8	3.62	9.76	44
B3_v3f_no_pononly_06	A_TP05	chr7	109185781	8	10	47	8	2	0	18	49	0.37	0.00	75
B3_v3f_no_pononly_06	B_FPA1	chr8	93565727	12	0	47	0	6	0	0	53	0.00	0.00	65
B3_v3f_no_pononly_06	B_FPA2	chr9	137953060	26	4	19	0	0	0	4	19	0.21	0.00	49
B3_v3f_no_pononly_06	B_FPB1	chr7	52087777	0	31	25	0	0	0	31	25	1.24	0.00	56
B3_v3f_no_pononly_06	B_FPB2	chr9	75383880	8	18	17	9	0	0	27	17	1.59	0.00	52
B3_v3f_no_pononly_06	C_V5max1	chr19	4639528	1	9	15	0	26	0	9	41	0.22	0.00	51
B3_v3f_no_pononly_06	C_V5max2	chr19	2235521	6	6	2	18	0	0	24	2	12.00	0.00	32
B3_v3f_no_pononly_06	C_V5max3	chr19	7405500	3	13	14	0	20	0	13	34	0.38	0.00	50
B3_v3f_no_pononly_06	D_SP1	chr19	17565944	2	1	30	0	40	0	1	70	0.01	0.00	73
B3_v3f_no_pononly_06	D_SP2	chr19	12452332	11	1	13	0	29	0	1	42	0.02	0.00	54
B3_v3f_no_pononly_06	D_SP3	chr19	12467180	21	0	14	0	28	0	0	42	0.00	0.00	63
B5_v5_06	A_TP01	chr6	145444893	18	1	16	0	3	1	1	19	0.05	4.76	39
B5_v5_06	A_TP02	chr4	70548355	0	1	43	0	15	0	1	58	0.02	0.00	59
B5_v5_06	A_TP03	chr5	153209947	1	35	12	10	0	0	45	12	3.75	0.00	58
B5_v5_06	A_TP04	chr16	35118902	3	1	11	2	24	3	3	35	0.09	7.32	44
B5_v5_06	A_TP05	chr7	109185781	33	21	12	3	2	4	24	14	1.71	9.52	75
B5_v5_06	B_FPA1	chr8	93565727	12	0	47	0	6	0	0	53	0.00	0.00	65
B5_v5_06	B_FPA2	chr9	137953060	25	4	20	0	0	0	4	20	0.20	0.00	49
B5_v5_06	B_FPB1	chr7	52087777	15	18	23	0	0	0	18	23	0.78	0.00	56
B5_v5_06	B_FPB2	chr9	75383880	13	17	13	7	0	2	24	13	1.85	5.13	52
B5_v5_06	C_V5max1	chr19	4639528	4	14	7	21	1	4	35	8	4.38	8.51	51
B5_v5_06	C_V5max2	chr19	2235521	8	1	5	4	13	1	5	18	0.28	4.17	32
B5_v5_06	C_V5max3	chr19	7405500	11	8	11	1	16	3	9	27	0.33	7.69	50
B5_v5_06	D_SP1	chr19	17565944	2	0	31	0	40	0	0	71	0.00	0.00	73
B5_v5_06	D_SP2	chr19	12452332	12	1	13	0	28	0	1	41	0.02	0.00	54
B5_v5_06	D_SP3	chr19	12467180	22	0	13	0	26	2	0	39	0.00	4.88	63
