RegionID	Chr	Pos	NumReads	NumCpGs	VC_maxdist	VC_skip	Sig_maxdist	Sig_skip	DomLabel_maxdist	DomLabel_skip	CramersV_maxdist	CramersV_skip	PermanovaP_maxdist	PermanovaP_skip
0	chr1	877772	113	126	Weak	Strong	False	False	hp	hp	0	0	1	0.01
1	chr1	1004726	100	511	Weak	Strong	False	False	hp	hp	0	0	1	0.01
4	chr1	1263518	136	311	Weak	Noise	False	False	hp	hp	0	0	1	1
7	chr1	1359218	113	444	Weak	Strong	False	False	hp	hp	0	0	1	0.01
10	chr1	2057742	86	337	Weak	Strong	False	True	hp	hp	0	1	1	0.01
11	chr1	2339703	94	398	Strong	Strong	True	False	hp	hp	0.4827	0	0.01	0.01
12	chr1	2431393	108	311	Weak	Strong	False	False	hp	hp	0	0	1	0.01
14	chr1	2478320	95	323	Strong	Strong	False	True	hp	hp	0	1	0.01	0.01
19	chr1	2968828	102	234	Strong	Strong	True	False	hp	hp	0.6148	0	0.01	0.01
20	chr1	3051701	98	98	Weak	Strong	False	False	allele	hp	0	0	1	0.01
22	chr1	3507277	116	302	Weak	Strong	False	True	hp	hp	0	0.901	0.01	0.01
23	chr1	3541696	94	317	Strong	Strong	False	True	hp	hp	0	0.965	0.01	0.01
24	chr1	3680229	83	235	Weak	Strong	False	True	hp	hp	0	0.512	1	0.01
25	chr1	3788001	104	314	Strong	Weak	False	False	allele	allele	0	0	0.01	1
26	chr1	4197610	106	40	Weak	Strong	False	True	hp	hp	0	0.9693	1	0.01
27	chr1	4216895	112	169	Noise	Strong	False	False	hp	hp	0	0	1	0.01
28	chr1	4776235	117	246	Strong	Strong	False	True	hp	hp	0	1	0.01	0.01
29	chr1	4842433	106	51	Weak	Strong	False	True	allele	allele	0	0.8126	1	0.01
30	chr1	4862616	96	86	Weak	Strong	False	True	hp	hp	0	0.9199	1	0.01
31	chr1	4908852	84	142	Weak	Strong	False	False	allele	allele	0	0	1	0.01
32	chr1	4911698	75	150	Weak	Strong	False	False	allele	allele	0	0	1	0.01
33	chr1	5054294	101	71	Weak	Strong	False	False	hp	hp	0	0	1	0.01
34	chr1	5076491	97	93	Weak	Strong	False	True	hp	hp	0	0.8264	1	0.01
35	chr1	5107877	104	69	Weak	Strong	False	False	allele	allele	0	0	1	0.01
36	chr1	5308178	76	160	Weak	Strong	False	False	allele	hp	0	0	1	0.01
37	chr1	5608822	106	38	Weak	Strong	False	False	hp	hp	0	0	1	0.01
38	chr1	5628899	99	71	Weak	Strong	False	False	allele	hp	0	0	1	0.01
39	chr1	5632971	109	84	Weak	Strong	False	False	hp	hp	0	0	1	0.01
40	chr1	5647379	106	175	Weak	Strong	False	True	hp	hp	0	0.9648	1	0.01
41	chr1	5669246	115	149	Weak	Strong	False	True	allele	allele	0	0.9555	1	0.01
44	chr1	5920996	93	150	Strong	Weak	False	False	hp	allele	0	0	0.01	1
46	chr1	6180744	108	376	Weak	Strong	False	True	hp	hp	0	0.9668	1	0.01
47	chr1	6202793	133	351	Strong	Weak	True	False	hp	hp	0.3242	0	0.01	1
49	chr1	6957208	103	216	Strong	Strong	False	True	hp	hp	0	0.9633	0.01	0.01
50	chr1	6975198	123	184	Strong	Strong	True	False	hp	hp	0.9035	0	0.01	0.01
52	chr1	7290559	112	137	Strong	Strong	False	True	hp	hp	0	0.9727	0.01	0.01
53	chr1	7290560	111	137	Strong	Strong	False	True	hp	hp	0	1	0.01	0.01
54	chr1	7434278	114	154	Strong	Strong	False	True	hp	hp	0	1	0.01	0.01
55	chr1	7651129	113	171	Weak	Strong	False	True	hp	hp	0	1	1	0.01
60	chr1	8678694	116	90	Weak	Noise	False	False	hp	allele	0	0	0.01	1
61	chr1	8699997	106	188	Weak	Strong	False	False	allele	allele	0	0	1	0.01
64	chr1	9095521	99	131	Weak	Strong	False	False	hp	hp	0	0	1	0.01
