region	chrom	shape	cn	n_reads	n_pop	popA	popA_n	popB	popB_n	n_cpg_tested	n_sig_cpg	max_dbeta	min_q	corroborated	hp_control_eval	cis_hit	cis_explained
chr6:88862216-88871971	chr6	full_tree	loh	44	3	AARAAA	19	RRRRAA	16	253	0	0.811	1.0	0	0	0	0
chr15:27306194-27306522	chr15	linear_nested	loh	48	2	RRRRRRRRRR	37	AAAAAAAAAA	6	72	0	0.637	1.0	0	0	0	0
chr3:71327944-71329696	chr3	linear_nested	neutral	52	2	RRRRRRRRR	31	AAAAAAAAA	17	314	1	0.887	0.0411	1	0	0	0
chr5:109588573-109589616	chr5	full_tree	loh	35	3	RRRR	16	RRRA	11	214	0	0.984	0.0833	0	0	0	0
chr8:91291447-91300345	chr8	full_tree	loh	31	3	RRRR	13	ARRA	12	306	0	0.983	0.5995	0	0	0	0
chr11:70879255-70888432	chr11	full_tree	loh	21	2	RRRR	10	ARRR	10	687	0	0.982	0.94	0	0	0	0
chr8:61402948-61415187	chr8	full_tree	loh	33	3	ARAR	12	RRRA	11	237	0	0.976	0.2837	0	0	0	0
chr12:132557304-132563011	chr12	full_tree	loh	29	2	AAAR	18	ARRR	10	2250	0	0.945	1.0	0	0	0	0
chr21:10330070-10358257	chr21	full_tree	neutral	20	2	RRRRRRR	9	AAAARAA	8	669	0	0.974	0.7882	0	0	0	0
chr2:223827191-223852036	chr2	linear_nested	neutral	20	2	RRRR	9	AAAR	6	497	0	0.853	0.6574	0	0	0	0
chr6:164170908-164188447	chr6	full_tree	loh	12	2	RARA	7	ARAA	4	0	0	0.0	1.0	0	0	0	0
chr7:21558013-21573450	chr7	full_tree	loh	18	2	RARR	13	ARAA	4	0	0	0.0	1.0	0	0	0	0
chr10:86009126-86017895	chr10	full_tree	loh	30	2	ARAA	18	RRAA	11	400	0	0.963	0.4641	0	0	0	0
chr11:101156286-101177943	chr11	linear_nested	loh	10	2	AAAR	6	AAAA	3	0	0	0.0	1.0	0	0	0	0
chr17:27147004-27157994	chr17	full_tree	loh	20	2	RRRR	10	RRAR	7	409	0	0.98	0.7004	0	0	0	0
chr17:48357368-48365161	chr17	full_tree	loh	32	3	RAAA	14	RRAR	10	251	0	0.984	0.1896	0	0	0	0
chr1:7500258-7500398	chr1	full_tree	loh	63	4	RRR	42	AAR	13	666	0	0.881	1.0	0	0	0	0
chr1:57352048-57356097	chr1	full_tree	loh	40	2	RAR	19	ARA	18	297	0	0.983	0.127	0	0	0	0
chr2:124328703-124354937	chr2	full_tree	loh	10	2	ARR	5	AAR	4	127	0	0.946	0.8078	0	0	0	0
chr3:118416245-118431583	chr3	full_tree	loh	7	2	ARA	3	RAA	3	0	0	0.0	1.0	0	0	0	0
chr5:64276850-64294315	chr5	sibling_only	loh	13	2	RRA	6	RAR	6	96	0	0.979	0.4906	0	0	0	0
chr5:72534548-72541165	chr5	full_tree	loh	27	3	RRA	17	RAA	6	169	0	0.485	0.8442	0	0	0	0
chr5:112399625-112415165	chr5	sibling_only	loh	16	2	ARR	7	RRA	7	315	0	0.983	0.5833	0	0	0	0
chr5:119701911-119716464	chr5	full_tree	loh	14	2	ARR	7	AAR	3	0	0	0.0	1.0	0	0	0	0
chr5:171677602-171694829	chr5	full_tree	loh	30	3	AAR	16	ARA	8	597	0	0.987	0.2785	0	0	0	0
chr6:112651643-112663326	chr6	full_tree	loh	18	3	AAR	7	ARR	6	73	0	0.519	1.0	0	0	0	0
chr8:22725703-22747662	chr8	full_tree	loh	11	2	AAR	6	RRA	5	379	0	0.974	0.937	0	0	0	0
chr8:46668377-46684421	chr8	full_tree	loh	13	2	RAA	6	ARA	6	0	0	0.0	1.0	0	0	0	0
chr8:58338760-58349709	chr8	sibling_only	loh	42	3	ARR	15	RAR	14	370	0	0.975	0.3388	0	0	0	0
chr8:92045604-92049056	chr8	full_tree	loh	54	3	RAA	20	RRR	19	363	6	0.984	0.0494	1	0	0	0
chr9:18375981-18394066	chr9	full_tree	loh	17	2	ARA	8	RAR	8	235	0	0.935	1.0	0	0	0	0
chr10:99035284-99060233	chr10	full_tree	loh	8	2	RRA	5	AAR	3	1	0	0.013	0.8486	0	0	0	0
chr10:125007013-125014690	chr10	full_tree	loh	55	2	RAA	28	ARA	23	2154	0	0.87	0.9871	0	0	0	0
chr10:131800339-131819860	chr10	full_tree	loh	10	2	ARR	5	RRR	3	0	0	0.0	1.0	0	0	0	0
chr11:39795758-39815337	chr11	full_tree	loh	12	2	ARR	7	ARA	4	0	0	0.0	1.0	0	0	0	0
chr12:97632597-97635740	chr12	full_tree	loh	27	3	RAA	12	RRR	11	229	0	0.976	0.3158	0	0	0	0
chr13:95064297-95077922	chr13	sibling_only	loh	17	2	RAR	10	RRA	5	281	0	0.98	1.0	0	0	0	0
chr18:4442473-4465873	chr18	full_tree	loh	8	2	RAR	4	AAR	4	0	0	0.0	1.0	0	0	0	0
chr2:199766356-199790920	chr2	full_tree	neutral	16	2	RRRRR	9	RRRAR	4	150	0	0.928	0.8	0	0	0	0
chr15:17079385-17079804	chr15	linear_nested	neutral	59	2	RRRRR	49	AAAAA	8	23	0	0.897	0.0701	0	0	0	0
chr4:39436884-39460442	chr4	sibling_only	neutral	16	2	RRRR	7	RRAR	6	787	0	0.978	1.0	0	0	0	0
chr5:113855568-113871062	chr5	linear_nested	loh	15	2	AAAA	9	RARA	5	93	0	0.982	0.62	0	0	0	0
chr6:110376615-110391015	chr6	linear_nested	loh	21	2	AARR	17	AARA	3	0	0	0.0	1.0	0	0	0	0
chr11:20962531-20971942	chr11	sibling_only	loh	28	2	RARR	15	RAAR	11	267	0	0.924	0.7208	0	0	0	0
chr2:18333859-18349559	chr2	linear_nested	loh	16	2	ARR	8	ARA	5	80	0	0.979	0.4975	0	0	0	0
chr2:128135634-128143485	chr2	linear_nested	loh	30	2	RRR	25	AAA	3	0	0	0.0	1.0	0	0	0	0
chr3:71910173-71920849	chr3	linear_nested	loh	21	2	AAA	14	RRA	6	184	0	0.961	0.5714	0	0	0	0
chr3:77554784-77555786	chr3	linear_nested	loh	42	2	RRA	22	AAA	17	231	0	0.986	0.3411	0	0	0	0
chr3:81913348-81917506	chr3	full_tree	loh	28	2	RRR	15	ARA	8	169	0	0.965	0.6991	0	0	0	0
chr3:126650545-126668351	chr3	full_tree	loh	15	2	AAR	7	ARA	5	290	0	0.972	0.494	0	0	0	0
