chr	version	HP1_grp	HP2_grp	HP3_amb	untagged	total	HP1_prop	HP1_HP2_ratio	L1_dist_to_paired_T
chr3	baseline	961351	234907	458	885352	2082068	0.8036	4.0925	NA
chr5	baseline	822069	283153	1375	673579	1780176	0.7438	2.9033	NA
chr8	baseline	749682	130498	74	809153	1689407	0.8517	5.7448	NA
chr11	baseline	568474	133137	714	426926	1129251	0.8102	4.2698	NA
chr17	baseline	397718	32048	54	393011	822831	0.9254	12.4101	NA
chr19	baseline	192501	158700	556	198999	550756	0.5481	1.2130	0.2145
chr19	V5	147552	189665	1971	211568	550756	0.4376	0.7780	0.0066
chr19	V6	216254	130165	6504	197833	550756	0.6243	1.6614	0.3668
chr19	paired_T	150354	190701	1098	208603	550756	0.4408	0.7884	0.0000
chrX	baseline	395436	47681	112	434304	877533	0.8924	8.2934	NA
