=== 全基因組外推驗證彙總 ===
總窗數: 183  跨染色體: 20
救援 accuracy: median=0.8852 mean=0.8424 min=0.390 max=1.000
shuffle null acc: median=0.5236
AUC: median=0.9583
frac acc>null_p95: 0.770 (141/183)
acc 分布: >0.9=46% >0.8=70% >0.7=81% <=0.6=11%

=== per-chr ===
chr     n窗    acc_med  null_med frac>p95
chr1    7     0.825    0.5079   0.714   
chr10   6     0.9225   0.4726   0.833   
chr12   8     0.9188   0.5665   0.875   
chr13   13    0.8649   0.5176   0.615   
chr14   9     0.9516   0.5119   0.889   
chr15   10    0.7914   0.5807   0.6     
chr16   18    0.9542   0.559    0.778   
chr18   11    0.9298   0.5351   0.909   
chr19   10    0.9448   0.5141   0.7     
chr2    2     0.9657   0.5648   1.0     
chr20   20    0.9342   0.5216   0.8     
chr21   21    0.7619   0.5      0.667   
chr22   7     0.9241   0.5226   0.857   
chr3    1     0.5507   0.4986   0.0     
chr4    7     0.617    0.511    0.571   
chr5    6     0.8432   0.5357   1.0     
chr6    2     0.875    0.4911   1.0     
chr7    11    0.9032   0.595    0.909   
chr8    2     0.9301   0.7232   0.5     
chr9    12    0.8662   0.52     0.833   

-> extrapolation_genome_aggregate.json
