chrom	total	unphase	HP1	HP2	HP3	HP1_1	HP2_1	other
chr1	2529778	1202005	585659	641061	6332	47203	47518	0
chr2	2296816	932013	593955	665890	6406	45277	53275	0
chr3	2082068	801240	603558	579888	4580	47186	45616	0
chr4	1899371	865677	483816	472909	5052	36075	35842	0
chr5	1780176	705587	505518	482269	5179	43365	38258	0
chr6	1686744	1065385	290681	283447	2275	23253	21703	0
chr7	2469983	997248	647712	714458	7981	46635	55949	0
chr8	1689407	659869	551898	395682	4354	45494	32110	0
chr9	1226002	497775	349514	325221	2267	26447	24778	0
chr10	1253954	524743	317487	353740	3542	24391	30051	0
chr11	1129251	464171	317810	294408	2735	26076	24051	0
chr12	1223381	486277	366314	312075	3074	30361	25280	0
chr13	761289	312726	204221	211390	1971	15276	15705	0
chr14	1151332	459967	368741	265970	5350	30205	21099	0
chr15	920636	361317	238990	279005	2199	18544	20581	0
chr16	1172571	868528	138090	140026	3995	11884	10048	0
chr17	822831	340166	247793	197555	1655	19573	16089	0
chr18	868025	391020	234405	207048	2051	18486	15015	0
chr19	550756	208603	138239	176508	1098	12115	14193	0
chr20	828531	364357	209904	215596	2688	16958	19028	0
chr21	342739	184773	76382	70914	640	4574	5456	0
chr22	563032	233789	167615	137854	1314	13250	9210	0
chrX	877533	871725	3326	2482	0	0	0	0
chrY	23346	22916	180	250	0	0	0	0
