dimension	chrom	n	raw_agreement	cohen_kappa
structural	chr1	584	0.700342465753	0.537759444950
structural	chr2	560	0.719642857143	0.557151707777
structural	chr3	460	0.704347826087	0.515609514371
structural	chr4	468	0.726495726496	0.560537590234
structural	chr5	468	0.698717948718	0.508168862918
structural	chr6	272	0.691176470588	0.489087656530
structural	chr7	491	0.690427698574	0.520452354944
structural	chr8	361	0.659279778393	0.463245693563
structural	chr9	279	0.731182795699	0.556081210090
structural	chr10	260	0.684615384615	0.503400726731
structural	chr11	265	0.690566037736	0.501525474273
structural	chr12	266	0.669172932331	0.492850333651
structural	chr13	185	0.659459459459	0.440228615340
structural	chr14	248	0.637096774194	0.424029727498
structural	chr15	232	0.693965517241	0.516765922492
structural	chr16	122	0.704918032787	0.545576823590
structural	chr17	166	0.722891566265	0.489435677989
structural	chr18	193	0.709844559585	0.532323669407
structural	chr19	155	0.729032258065	0.567901234568
structural	chr20	181	0.723756906077	0.576865532074
structural	chr21	95	0.694736842105	0.517766497462
structural	chr22	91	0.692307692308	0.543614544152
read_af_selection	chr1	584	0.674657534247	0.482344379079
read_af_selection	chr2	560	0.658928571429	0.447295125594
read_af_selection	chr3	460	0.676086956522	0.450166859197
read_af_selection	chr4	468	0.698717948718	0.513649764151
read_af_selection	chr5	468	0.670940170940	0.455299852624
read_af_selection	chr6	272	0.665441176471	0.452921934400
read_af_selection	chr7	491	0.631364562118	0.434957592096
read_af_selection	chr8	361	0.650969529086	0.427020217925
read_af_selection	chr9	279	0.620071684588	0.404266462543
read_af_selection	chr10	260	0.642307692308	0.432740580866
read_af_selection	chr11	265	0.633962264151	0.375728579755
read_af_selection	chr12	266	0.657894736842	0.443591393895
read_af_selection	chr13	185	0.589189189189	0.325821146008
read_af_selection	chr14	248	0.616935483871	0.393471321182
read_af_selection	chr15	232	0.607758620690	0.398621318293
read_af_selection	chr16	122	0.647540983607	0.464475296039
read_af_selection	chr17	166	0.656626506024	0.374743937091
read_af_selection	chr18	193	0.668393782383	0.465119300221
read_af_selection	chr19	155	0.729032258065	0.529011720446
read_af_selection	chr20	181	0.646408839779	0.472062710783
read_af_selection	chr21	95	0.600000000000	0.438918246814
read_af_selection	chr22	91	0.725274725275	0.521455616323
morphology	chr1	584	0.751712328767	0.576832741992
morphology	chr2	560	0.789285714286	0.595608484389
morphology	chr3	460	0.778260869565	0.587200760142
morphology	chr4	468	0.773504273504	0.600955621516
morphology	chr5	468	0.741452991453	0.541265675124
morphology	chr6	272	0.727941176471	0.503710826738
morphology	chr7	491	0.712830957230	0.527120345895
morphology	chr8	361	0.689750692521	0.530008020738
morphology	chr9	279	0.720430107527	0.458360296680
morphology	chr10	260	0.780769230769	0.584897204638
morphology	chr11	265	0.747169811321	0.471325631253
morphology	chr12	266	0.808270676692	0.606417546710
morphology	chr13	185	0.713513513514	0.440098218365
morphology	chr14	248	0.721774193548	0.502080484185
morphology	chr15	232	0.750000000000	0.568897574728
morphology	chr16	122	0.811475409836	0.664995224451
morphology	chr17	166	0.698795180723	0.454736565497
morphology	chr18	193	0.761658031088	0.541259753010
morphology	chr19	155	0.806451612903	0.647700583378
morphology	chr20	181	0.779005524862	0.612937717188
morphology	chr21	95	0.694736842105	0.488583627251
morphology	chr22	91	0.791208791209	0.598280669145
