=== 全 LOH 區 tumor VAF 系統分布 ===
總 LOH het 位點: 2693 跨 9 染色體
tumor VAF median: 0.065
型別: balanced(仍雜合,無真cnLOH)=11(0.4%) imbalanced=26(1.0%) homozygous(真cnLOH)=2656(98.6%)

=== per-chr ===
chr     n     tvaf_med  bal%   imb%   hom%  
chr1    299   0.947     0      0      100   
chr11   300   0.036     0      1      99    
chr13   300   0.907     0      0      100   
chr15   299   0.929     0      2      98    
chr18   300   0.035     0      1      99    
chr2    300   0.063     0      0      100   
chr22   297   0.042     2      2      95    
chr5    298   0.036     1      0      99    
chr8    300   0.081     0      1      98    

-> loh_tumor_vaf_genome_aggregate.json
