name	size_kb_before	size_kb_after	post_status	destination_path
20260118_vcf_all_w5000_t120	8414552	8414556	exists	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/20260118_vcf_all_w5000_t120
20260118_vcf_chr19_verif_t120	16	16	exists	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/20260118_vcf_chr19_verif_t120
20260118_vcf_chr19_verif_t120_1	252	252	exists	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/20260118_vcf_chr19_verif_t120_1
20260119_vcf_chr19_verif_t120	252	252	exists	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/20260119_vcf_chr19_verif_t120
PPT	1848	1848	exists	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/PPT
advanced_analysis_20260119	68	68	exists	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/advanced_analysis_20260119
deep_analysis_20260119	176	176	exists	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/deep_analysis_20260119
f1_evaluation_20260119	12	12	exists	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/f1_evaluation_20260119
methylation_significance_followup	56	56	exists	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/methylation_significance_followup
ml_feature_exploration	19384	19384	exists	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/ml_feature_exploration
test_log_info	252	252	exists	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/test_log_info
tmp_meth_annot_test	93984	93984	exists	/bip8_disk/liaoyoyo2001/InterSubMod_out/output/tmp_meth_annot_test
