region	chrom	start	end	span	n_sSNV	cn	tree_shape	n_nodes	n_nested	n_sibling	max_depth	has_cycle	n_populations
chr14:106258051-106394166	chr14	106258051	106394166	136115	94	gain	inconsistent	57	72	30	9	True	2
chr8:87947762-88561542	chr8	87947762	88561542	613780	60	loh	full_tree	40	10	23	3	False	1
chr8:81967040-82178585	chr8	81967040	82178585	211545	150	gain	inconsistent	26	12	20	4	True	2
chr16:35418931-36217385	chr16	35418931	36217385	798454	74	gain	inconsistent	42	18	13	3	True	1
chr8:121730472-122121542	chr8	121730472	122121542	391070	65	gain	full_tree	29	9	14	3	False	3
chr8:99815931-100069207	chr8	99815931	100069207	253276	44	loh	full_tree	23	10	10	4	False	3
chr8:144799296-144992406	chr8	144799296	144992406	193110	22	gain	full_tree	20	10	8	3	False	0
chr8:123135522-123375768	chr8	123135522	123375768	240246	16	gain	sibling_only	14	0	18	1	False	0
chr8:127150821-127401923	chr8	127150821	127401923	251102	16	gain	full_tree	15	3	15	2	False	0
chr17:49368439-49890555	chr17	49368439	49890555	522116	41	loh	full_tree	31	6	11	3	False	2
chr7:154532236-154768422	chr7	154532236	154768422	236186	17	gain	full_tree	16	5	12	2	False	0
chr8:104281399-104369823	chr8	104281399	104369823	88424	11	gain	full_tree	10	4	13	3	False	1
chr8:133623804-133740088	chr8	133623804	133740088	116284	9	gain	full_tree	9	2	14	2	False	0
chr8:142857649-142925531	chr8	142857649	142925531	67882	9	gain	full_tree	9	3	12	3	False	0
chr8:111024324-111255853	chr8	111024324	111255853	231529	14	gain	full_tree	12	4	10	2	False	0
chr8:103525772-103656106	chr8	103525772	103656106	130334	9	gain	full_tree	9	1	13	2	False	0
chr10:47682714-47689755	chr10	47682714	47689755	7041	18	gain	linear_nested	13	13	0	4	False	2
chr8:100436896-100493791	chr8	100436896	100493791	56895	15	loh	full_tree	7	2	11	2	False	2
chr20:56191455-56256976	chr20	56191455	56256976	65521	10	gain	inconsistent	8	4	9	3	True	0
chr1:143746889-143768269	chr1	143746889	143768269	21380	9	gain	full_tree	8	6	7	3	False	2
chr12:14555003-14700927	chr12	14555003	14700927	145924	9	gain	full_tree	9	4	9	2	False	0
chr7:158377608-158571398	chr7	158377608	158571398	193790	12	gain	full_tree	12	2	10	2	False	0
chr8:117294212-117377547	chr8	117294212	117377547	83335	11	gain	full_tree	10	4	8	2	False	0
chr8:136732293-136880635	chr8	136732293	136880635	148342	9	gain	full_tree	9	1	11	2	False	0
chr7:85760337-85978300	chr7	85760337	85978300	217963	15	gain	full_tree	13	2	9	2	False	0
chr16:21137473-21343134	chr16	21137473	21343134	205661	14	gain	full_tree	13	4	7	2	False	0
chr8:130972816-131316714	chr8	130972816	131316714	343898	13	gain	full_tree	13	1	10	2	False	0
chr8:95497096-95576576	chr8	95497096	95576576	79480	9	loh	full_tree	8	2	9	2	False	0
chr17:82292341-82413499	chr17	82292341	82413499	121158	9	loh	full_tree	8	2	9	2	False	0
chr8:132512513-132561782	chr8	132512513	132561782	49269	8	gain	full_tree	8	3	8	2	False	0
chr8:93689652-94171262	chr8	93689652	94171262	481610	45	loh	full_tree	24	5	5	3	False	2
chr16:34597681-34767808	chr16	34597681	34767808	170127	22	gain	full_tree	16	6	4	2	False	2
chr17:69844805-70045542	chr17	69844805	70045542	200737	13	gain	full_tree	12	4	6	2	False	0
chr2:94539156-94541206	chr2	94539156	94541206	2050	11	gain	linear_nested	9	10	0	5	False	4
chr1:40867755-40995625	chr1	40867755	40995625	127870	9	gain	full_tree	9	3	7	3	False	0
chr13:34185613-34258801	chr13	34185613	34258801	73188	8	gain	full_tree	7	2	8	2	False	0
chr7:156112564-156185611	chr7	156112564	156185611	73047	6	gain	full_tree	6	3	7	2	False	0
chr12:1322350-1351664	chr12	1322350	1351664	29314	5	gain	full_tree	5	3	7	2	False	1
chr8:112982467-113254358	chr8	112982467	113254358	271891	25	gain	full_tree	14	3	6	3	False	2
chr8:100563395-100751258	chr8	100563395	100751258	187863	19	loh	inconsistent	10	5	4	3	True	0
chr8:64067013-64293915	chr8	64067013	64293915	226902	13	loh	full_tree	11	1	8	2	False	0
chr8:95894742-96103921	chr8	95894742	96103921	209179	13	loh	full_tree	11	1	8	2	False	0
chr8:91569989-91712285	chr8	91569989	91712285	142296	9	loh	full_tree	8	1	8	2	False	0
chr5:32625443-32712689	chr5	32625443	32712689	87246	8	gain	full_tree	8	4	5	2	False	0
chr6:88862216-88871971	chr6	88862216	88871971	9755	6	loh	full_tree	6	4	5	4	False	3
chr8:126323317-126406825	chr8	126323317	126406825	83508	6	gain	full_tree	6	1	8	2	False	0
chr14:16093807-16096495	chr14	16093807	16096495	2688	6	neutral	sibling_only	6	0	9	1	False	7
chr10:126809747-126848699	chr10	126809747	126848699	38952	5	gain	full_tree	5	4	5	2	False	0
chr8:81312744-81522614	chr8	81312744	81522614	209870	120	gain	full_tree	12	2	6	2	False	2
chr22:22816187-22893447	chr22	22816187	22893447	77260	36	gain	inconsistent	13	7	1	4	True	3
chr10:31940250-32165143	chr10	31940250	32165143	224893	15	gain	full_tree	15	7	1	5	False	0
chr15:75253050-75254597	chr15	75253050	75254597	1547	15	gain	linear_nested	11	8	0	4	False	3
chr15:98647946-98818510	chr15	98647946	98818510	170564	14	gain	full_tree	12	6	2	2	False	0
chr18:46495067-46721543	chr18	46495067	46721543	226476	12	gain	full_tree	12	5	3	3	False	0
chr1:119446237-119638301	chr1	119446237	119638301	192064	11	gain	full_tree	11	3	5	3	False	0
chr5:5235796-5342588	chr5	5235796	5342588	106792	11	gain	full_tree	10	7	1	3	False	0
chr8:108728371-108922292	chr8	108728371	108922292	193921	11	gain	full_tree	9	3	5	2	False	0
chr12:21580938-21664221	chr12	21580938	21664221	83283	10	gain	full_tree	8	3	5	2	False	0
chr15:27306194-27306522	chr15	27306194	27306522	328	10	loh	linear_nested	10	8	0	3	False	2
chr15:91403472-91514233	chr15	91403472	91514233	110761	9	gain	full_tree	9	3	5	3	False	0
chr3:130760178-130866320	chr3	130760178	130866320	106142	8	gain	full_tree	8	4	4	3	False	0
chr15:98219797-98295356	chr15	98219797	98295356	75559	8	gain	full_tree	6	1	7	2	False	0
chr7:77221056-77286237	chr7	77221056	77286237	65181	7	gain	full_tree	6	2	6	2	False	0
chr8:127455628-127561682	chr8	127455628	127561682	106054	7	gain	full_tree	7	1	7	2	False	0
chr11:72772505-72852025	chr11	72772505	72852025	79520	7	loh	full_tree	7	2	6	2	False	0
chr10:126115803-126180777	chr10	126115803	126180777	64974	6	gain	full_tree	6	3	5	2	False	0
chr13:85328074-85386596	chr13	85328074	85386596	58522	6	loh	full_tree	6	2	6	2	False	0
chr5:15828715-15864275	chr5	15828715	15864275	35560	5	gain	full_tree	5	2	6	2	False	0
chr7:114574249-114619099	chr7	114574249	114619099	44850	5	gain	full_tree	5	2	6	2	False	0
chr8:82774103-82979226	chr8	82774103	82979226	205123	103	gain	full_tree	10	2	5	2	False	3
chr9:61549997-61611568	chr9	61549997	61611568	61571	22	gain	full_tree	10	6	1	4	False	2
chr8:83081109-83144326	chr8	83081109	83144326	63217	17	gain	full_tree	9	4	3	2	False	2
chr20:51693765-51960304	chr20	51693765	51960304	266539	14	gain	full_tree	13	4	3	3	False	0
chr1:203590645-203741500	chr1	203590645	203741500	150855	10	gain	full_tree	10	5	2	2	False	0
chr7:136782712-136890895	chr7	136782712	136890895	108183	9	gain	full_tree	9	3	4	4	False	0
chr8:123723614-123906194	chr8	123723614	123906194	182580	9	gain	sibling_only	9	0	7	1	False	0
chr6:93070553-93159837	chr6	93070553	93159837	89284	8	loss	full_tree	6	3	4	2	False	0
chr6:93823286-93853447	chr6	93823286	93853447	30161	8	loss	full_tree	6	4	3	2	False	0
chr7:115160719-115319536	chr7	115160719	115319536	158817	8	gain	full_tree	8	3	4	2	False	0
chr8:68266581-68357610	chr8	68266581	68357610	91029	8	gain	full_tree	7	1	6	2	False	0
chr8:92429614-92548980	chr8	92429614	92548980	119366	7	loh	full_tree	7	4	3	3	False	0
chr8:95739146-95826445	chr8	95739146	95826445	87299	7	loh	sibling_only	7	0	7	1	False	0
chr8:107497939-107592172	chr8	107497939	107592172	94233	7	gain	full_tree	7	3	4	2	False	0
chr8:134821851-134970699	chr8	134821851	134970699	148848	7	gain	full_tree	6	1	6	2	False	0
chr12:11433195-11495124	chr12	11433195	11495124	61929	6	gain	full_tree	6	3	4	4	False	0
chr14:94572487-94624220	chr14	94572487	94624220	51733	5	gain	full_tree	5	1	6	2	False	0
chr17:49106443-49281119	chr17	49106443	49281119	174676	19	loh	full_tree	14	5	1	2	False	2
chr14:19725785-19947761	chr14	19725785	19947761	221976	16	gain	full_tree	12	1	5	2	False	0
