Chr	AF<0.4	AF≥0.4	total_fp	af_ge04_frac
chr8	37	81	118	0.6864406779661016
chr7	30	75	105	0.7142857142857143
chr16	28	64	92	0.6956521739130435
chr1	35	36	71	0.5070422535211268
chr9	34	20	54	0.37037037037037035
chr6	21	23	44	0.5227272727272727
chr2	9	31	40	0.775
chr5	13	23	36	0.6388888888888888
chr20	10	25	35	0.7142857142857143
chr21	15	19	34	0.5588235294117647
chr4	11	20	31	0.6451612903225806
chr11	17	13	30	0.43333333333333335
chr17	9	17	26	0.6538461538461539
chr19	5	16	21	0.7619047619047619
chr14	3	16	19	0.8421052631578947
chr22	11	4	15	0.26666666666666666
chr3	5	6	11	0.5454545454545454
chr15	5	5	10	0.5
chr12	2	8	10	0.8
chr10	3	2	5	0.4
chr18	1	4	5	0.8
chr13	1	3	4	0.75
