win_Mb          HP1      HP2    HP1-1    HP2-1      HP3 |  som_ratio germ_ratio
chr19:0       4677      195      330        1        2 | 0.997      0.960
chr19:1       3719      702      340        0        0 | 1.000      0.841
chr19:2       2010     3089      306      214       29 | 0.588      0.394
chr19:3         76     4394        0      755        0 | 0.000      0.017
chr19:4         91     5451        0      383        0 | 0.000      0.016
chr19:5         78     4057        0      304        0 | 0.000      0.019
chr19:6         45     3861        2      674        0 | 0.003      0.012
chr19:7       2741     1829      328      166       31 | 0.664      0.600
chr19:8       3550      981      478      137        0 | 0.777      0.783
chr19:9         46     5046        3      227       16 | 0.013      0.009
chr19:10        79     4781        1      313        4 | 0.003      0.016
chr19:11       471     2926       75      292        8 | 0.204      0.139
chr19:12      2986     4113      132      342        2 | 0.278      0.421
chr19:13      3271     4786      184      168       34 | 0.523      0.406
chr19:14      4886     3747      316      363       22 | 0.465      0.566
chr19:15      5012     3610      641      182        0 | 0.779      0.581
chr19:16      2769     3627      401      178       58 | 0.693      0.433
chr19:17      3320     2457      265      265        0 | 0.500      0.575
chr19:18      3153     4188      265      247        3 | 0.518      0.430
chr19:19      2020     2697       92      297       66 | 0.237      0.428
chr19:20      3148     4380      234      388        0 | 0.376      0.418
chr19:21      2393     3419      220      289       24 | 0.432      0.412
chr19:22      3237     4515      233      348       74 | 0.401      0.418
chr19:23      2961     3987      189      164        9 | 0.535      0.426
chr19:24      1542     1962      195      255       44 | 0.433      0.440
chr19:27      4311     3968      260      525        0 | 0.331      0.521
chr19:28      4969     4565      266      524       11 | 0.337      0.521
chr19:29      4182     4088      329      256       35 | 0.562      0.506
chr19:30      3864     3739      443      230       29 | 0.658      0.508
chr19:31      2569     2392      422      374       40 | 0.530      0.518
chr19:32      3616     3838      275      151        0 | 0.646      0.485
chr19:33      3965     4104      248      249        0 | 0.499      0.491
chr19:34      4046     4053      253      259        0 | 0.494      0.500
chr19:35      3014     2382      434      221       27 | 0.663      0.559
chr19:36      4162     3592      343      111        0 | 0.756      0.537
chr19:37      5085     3166      183      246        5 | 0.427      0.616
chr19:38      2300     2759      246      239       81 | 0.507      0.455
chr19:39      3931      404      344       29        9 | 0.922      0.907
chr19:40      4477      183      250        0       17 | 1.000      0.961
chr19:41      3847       71      325        1        9 | 0.997      0.982
chr19:42      1305      825      299        7      261 | 0.977      0.613
chr19:43        80     3837        1      380       49 | 0.003      0.020
chr19:44      1518     1320      143      213       13 | 0.402      0.535
chr19:45       234     4056       65      317        2 | 0.170      0.055
chr19:46        66     5105        0      247        0 | 0.000      0.013
chr19:47       254     3386       64       42        0 | 0.604      0.070
chr19:48      1979     2172      186       31       62 | 0.857      0.477
chr19:49      4857       63      460        0        0 | 1.000      0.987
chr19:50      2209     3040      103      275        4 | 0.272      0.421
chr19:51       116     5158       29      679        1 | 0.041      0.022
chr19:52      6492       59      616        1        4 | 0.998      0.991
chr19:53      1163     5474        1      349       11 | 0.003      0.175
chr19:54      5399     1249      494       51       16 | 0.906      0.812
chr19:55      1304     5379       86      147        0 | 0.369      0.195
chr19:56        65     5216        1      617        6 | 0.002      0.012
chr19:57        60     6366        0      452        0 | 0.000      0.009
chr19:58        40     2500        2      329       27 | 0.006      0.016

--- 偏向統計（som_ratio = HP1-1 / (HP1-1 + HP2-1)）---
理想分布應 ~0.5（無 priority bug 偏向）
TO mode chr19 baseline 對比：HP1-1 主導 17.3:1 → som_ratio ≈ 0.95
